0.00,-27.00,-157.00,10.00,51218
0.00,0.00,-31.00,-161.00,4.00,51304
0,0,-31.00,-151.00,52.00,51327
0,0,-3.00,-135.00,-18.00,51350
0,0,-43.00,-169.00,28.00,51374
0,0,-15.00,-157.00,24.00,51398
0,0,-19.00,-147.00,6.00,51421
0,0,-13.00,-135.00,8.00,51444
0,0,-25.00,-153.00,10.00,51467
0,0,-7.00,-153.00,4.00,51490
0,0,-19.00,-137.00,12.00,51513
0,0,-29.00,-149.00,14.00,51557
0,0,-1.00,-137.00,-10.00,51580
0,0,-41.00,-169.00,16.00,51603
0,0,-5.00,-157.00,-2.00,51626
0,0,-9.00,-139.00,22.00,51650
0,0,-23.00,-159.00,24.00,51673
0,0,-43.00,-149.00,38.00,51696
0,0,-11.00,-145.00,2.00,51720
0,0,-19.00,-151.00,34.00,51743
0,0,-21.00,-153.00,18.00,51766
0,0,-17.00,-165.00,18.00,51790
0,0,-17.00,-149.00,14.00,51813
0,0,-37.00,-145.00,28.00,51837
0,0,-5.00,-151.00,34.00,51880
0,0,-35.00,-175.00,42.00,51903
0,0,-9.00,-129.00,2.00,51926
0,0,-7.00,-131.00,24.00,51949
0,0,-13.00,-149.00,10.00,51973
0,0,-9.00,-141.00,26.00,51996
0,0,-3.00,-143.00,2.00,52019
0,0,-23.00,-147.00,16.00,52042
0,0,-61.00,-173.00,28.00,52065
0,0,13.00,-139.00,-20.00,52088
0,0,-35.00,-147.00,34.00,52112
0,0,-13.00,-131.00,18.00,52135
0,0,-25.00,-167.00,-18.00,52159
0,0,-145.00,-181.00,-60.00,52182
0,0,-53.00,-153.00,-44.00,52206
0,0,-39.00,-135.00,28.00,52229
0,0,-59.00,-111.00,88.00,52253
0,0,19.00,-289.00,-484.00,52276
0,0,37.00,-213.00,-106.00,52300
0,0,-17.00,-129.00,22.00,52324
0,0,-23.00,-97.00,64.00,52347
0,0,3.00,-161.00,-14.00,52370
0,0,9.00,-171.00,-6.00,52394
0,0,-33.00,-119.00,14.00,52417
0,0,-15.00,-125.00,14.00,52441
0,0,-27.00,-143.00,24.00,52464
0,0,-1.00,-163.00,8.00,52488
0,0,-23.00,-157.00,-8.00,52532
0,0,-13.00,-117.00,58.00,52555
0,0,-21.00,-151.00,6.00,52579
0,0,-1.00,-177.00,-4.00,52602
0,0,-9.00,-165.00,48.00,52626
0,0,-11.00,-143.00,8.00,52649
0,0,-35.00,-149.00,36.00,52672
0,0,-31.00,-163.00,-14.00,52696
0,0,-19.00,-147.00,34.00,52720
0,0,-23.00,-139.00,24.00,52743
0,0,-33.00,-161.00,-4.00,52767
0,0,-27.00,-167.00,-8.00,52790
0,0,-19.00,-153.00,22.00,52813
0,0,-45.00,-147.00,30.00,52857
0,0,-31.00,-165.00,6.00,52880
0,0,-31.00,-161.00,16.00,52903
0,0,-21.00,-163.00,-10.00,52927
0,0,-29.00,-151.00,32.00,52950
0,0,-11.00,-155.00,22.00,52973
0,0,-27.00,-149.00,0.00,52996
0,0,-1.00,-155.00,28.00,53019
0,0,-29.00,-153.00,0.00,53042
0,0,-21.00,-159.00,22.00,53066
0,0,-23.00,-153.00,-8.00,53090
0,0,-5.00,-145.00,16.00,53113
0,0,-3.00,-147.00,14.00,53136
0,0,-11.00,-135.00,38.00,53180
0,0,-11.00,-159.00,46.00,53203
0,0,-23.00,-165.00,10.00,53227
0,0,-21.00,-131.00,10.00,53250
0,0,-25.00,-143.00,28.00,53273
0,0,-13.00,-157.00,22.00,53297
0,0,-39.00,-143.00,24.00,53320
0,0,-27.00,-153.00,24.00,53344
0,0,-11.00,-141.00,-6.00,53367
0,0,-11.00,-149.00,40.00,53391
0,0,-17.00,-159.00,12.00,53414
0,0,-23.00,-145.00,14.00,53437
0,0,-31.00,-137.00,16.00,53460
0,0,-15.00,-139.00,36.00,53504
0,0,-9.00,-147.00,8.00,53528
0,0,-17.00,-159.00,20.00,53551
0,0,-25.00,-149.00,-4.00,53575
0,0,-17.00,-151.00,34.00,53598
0,0,-21.00,-159.00,18.00,53622
0,0,-7.00,-129.00,8.00,53645
0,0,-27.00,-135.00,26.00,53669
0,0,-19.00,-153.00,16.00,53692
0,0,-29.00,-131.00,24.00,53716
0,0,-27.00,-135.00,34.00,53739
0,0,-11.00,-153.00,24.00,53763
0,0,-9.00,-171.00,18.00,53786
0,0,-3.00,-147.00,4.00,53810
0.00,0.00,-25.00,-157.00,22.00,54117
0.00,0.00,-19.00,-153.00,12.00,54182
0.00,0.00,-41.00,-147.00,16.00,54247
0.00,0.00,-27.00,-149.00,14.00,54313
0.00,0.00,715.00,-241.00,-872.00,54379
0.00,0.00,337.00,249.00,498.00,54444
0.00,0.00,-109.00,-479.00,-312.00,54509
0.00,0.00,255.00,-199.00,-78.00,54574
0.00,0.00,-9.00,63.00,178.00,54639
0.00,0.00,-45.00,-347.00,-58.00,54725
0,0,-91.00,-121.00,92.00,54748
0,0,241.00,-173.00,40.00,54771
0,0,445.00,-269.00,-522.00,54795
0,0,-125.00,-427.00,-496.00,54818
0,0,123.00,-261.00,-118.00,54841
0,0,-715.00,-277.00,-232.00,54864
0,0,-287.00,95.00,-286.00,54887
0,0,-453.00,-311.00,-158.00,54911
0,0,-427.00,-163.00,62.00,54934
0,0,161.00,-195.00,72.00,54977
0,0,-53.00,-147.00,242.00,55001
0,0,19.00,-295.00,52.00,55024
0,0,-55.00,-221.00,0.00,55048
0,0,5.00,-127.00,66.00,55071
0,0,-43.00,-125.00,36.00,55094
0,0,-13.00,-131.00,-44.00,55117
0,0,-49.00,-171.00,18.00,55140
0,0,-15.00,-189.00,60.00,55164
0,0,-23.00,-179.00,28.00,55187
0,0,-39.00,-157.00,16.00,55211
0,0,3.00,-139.00,30.00,55235
0,0,-35.00,-127.00,38.00,55258
0,0,-27.00,-143.00,-18.00,55282
0,0,-37.00,-165.00,-12.00,55305
0,0,-27.00,-165.00,44.00,55329
0,0,-41.00,-173.00,20.00,55353
0,0,-1.00,-145.00,20.00,55376
0,0,-29.00,-151.00,6.00,55400
0,0,-29.00,-127.00,30.00,55423
0,0,-9.00,-153.00,28.00,55447
0,0,-11.00,-161.00,26.00,55471
0,0,-25.00,-153.00,-4.00,55494
0,0,-7.00,-159.00,10.00,55518
0,0,-27.00,-153.00,24.00,55542
0,0,-15.00,-155.00,28.00,55565
0,0,1.00,-155.00,34.00,55589
0,0,-27.00,-147.00,14.00,55633
0,0,-19.00,-157.00,20.00,55656
0,0,-17.00,-151.00,0.00,55679
0,0,-13.00,-135.00,16.00,55703
0,0,-15.00,-155.00,28.00,55726
0,0,-3.00,-137.00,32.00,55749
0,0,-33.00,-153.00,26.00,55772
0,0,-9.00,-151.00,8.00,55795
0,0,-3.00,-145.00,0.00,55819
0,0,-13.00,-157.00,18.00,55842
0,0,-11.00,-163.00,28.00,55866
0,0,-9.00,-151.00,42.00,55889
0,0,-17.00,-137.00,10.00,55913
0,0,-15.00,-143.00,16.00,55936
0,0,-3.00,-139.00,10.00,55960
0,0,-5.00,-149.00,24.00,55983
0,0,-17.00,-147.00,16.00,56007
0,0,-19.00,-155.00,32.00,56030
0,0,-5.00,-149.00,16.00,56053
0,0,-21.00,-151.00,6.00,56077
0,0,-13.00,-149.00,4.00,56100
0,0,-27.00,-167.00,54.00,56124
0,0,-5.00,-139.00,14.00,56147
0,0,-31.00,-153.00,26.00,56171
0,0,-17.00,-145.00,16.00,56195
0,0,-13.00,-149.00,-10.00,56218
0,0,-23.00,-155.00,24.00,56242
0,0,-23.00,-159.00,-18.00,56285
0,0,-19.00,-157.00,32.00,56309
0,0,-29.00,-157.00,10.00,56333
0,0,-13.00,-155.00,20.00,56356
0,0,-29.00,-155.00,22.00,56380
0,0,-23.00,-139.00,12.00,56403
0,0,-25.00,-159.00,22.00,56427
0,0,-11.00,-143.00,20.00,56450
0,0,-31.00,-135.00,18.00,56474
0,0,-15.00,-163.00,28.00,56497
0,0,-25.00,-141.00,18.00,56520
0,0,-21.00,-159.00,24.00,56544
0,0,-15.00,-163.00,12.00,56567
0,0,-13.00,-171.00,32.00,56611
0,0,-25.00,-169.00,12.00,56634
0,0,-23.00,-145.00,18.00,56658
0,0,-19.00,-157.00,22.00,56681
0,0,-11.00,-151.00,26.00,56704
0,0,-7.00,-147.00,2.00,56728
0,0,-9.00,-131.00,24.00,56751
0,0,-19.00,-135.00,20.00,56775
0,0,-23.00,-165.00,32.00,56798
0,0,-17.00,-153.00,24.00,56821
0,0,-23.00,-161.00,22.00,56845
0,0,-25.00,-163.00,-4.00,56868
0,0,-17.00,-167.00,14.00,56892
0,0,-9.00,-151.00,24.00,56915
0.00,0.00,157.00,-177.00,-82.00,57222
0.00,0.00,357.00,-635.00,-460.00,57287
0.00,0.00,-385.00,-509.00,-446.00,57353
0.00,0.00,-319.00,-293.00,-334.00,57418
0.00,0.00,651.00,175.00,694.00,57484
0.00,0.00,663.00,97.00,132.00,57550
0.00,0.00,-7.00,-135.00,50.00,57615
0.00,0.00,25.00,-151.00,58.00,57680
0.00,0.00,-35.00,-127.00,6.00,57745
0.00,0.00,-19.00,-143.00,20.00,57831
0,0,-13.00,-163.00,10.00,57854
0,0,-43.00,-151.00,0.00,57878
0,0,-1.00,-149.00,46.00,57902
0,0,-19.00,-135.00,0.00,57925
0,0,-25.00,-137.00,10.00,57949
0,0,-9.00,-163.00,16.00,57973
