si,pga,x,y,z,time
0.0,0.0,-4.0,12.0,21.0,35490
0.0,0.0,-20.0,0.0,-5.0,35513
0.0,0.0,-12.0,-8.0,-5.0,35537
0.0,0.0,4.0,-16.0,-17.0,35560
0.0,0.0,4.0,-4.0,-7.0,35584
0.0,0.0,-18.0,-18.0,-11.0,35607
0.0,0.0,6.0,-2.0,9.0,35630
0.0,0.0,2.0,10.0,5.0,35654
0.0,0.0,-14.0,12.0,7.0,35677
0.0,0.0,4.0,6.0,-11.0,35700
0.0,0.0,-6.0,-8.0,-11.0,35723
0.0,0.0,6.0,-2.0,11.0,35746
0.0,0.0,-12.0,-2.0,9.0,35770
0.0,0.0,2.0,6.0,-9.0,35793
0.0,0.0,2.0,-4.0,41.0,35816
0.0,0.0,-6.0,16.0,-7.0,35840
0.0,0.0,6.0,-22.0,3.0,35863
0.0,0.0,10.0,-18.0,5.0,35886
0.0,0.0,8.0,-18.0,5.0,35910
0.0,0.0,4.0,8.0,3.0,35933
0.0,0.0,6.0,22.0,5.0,35957
0.0,0.0,8.0,2.0,9.0,35980
0.0,0.0,2.0,-16.0,-37.0,36003
0.0,0.0,-6.0,4.0,19.0,36026
0.0,0.0,-6.0,-6.0,5.0,36050
0.0,0.0,16.0,-8.0,7.0,36073
0.0,0.0,6.0,-18.0,23.0,36096
0.0,0.0,-2.0,2.0,-29.0,36119
0.0,0.0,0.0,0.0,3.0,36142
0.0,0.0,0.0,-6.0,-25.0,36166
0.0,0.0,-2.0,24.0,-1.0,36189
0.0,0.0,8.0,6.0,-3.0,36212
0.0,0.0,-6.0,6.0,1.0,36235
0.0,0.0,-2.0,-18.0,-3.0,36259
0.0,0.0,-8.0,-2.0,1.0,36282
0.0,0.0,-10.0,-16.0,-7.0,36305
0.0,0.0,18.0,0.0,-1.0,36329
0.0,0.0,4.0,-16.0,13.0,36352
0.0,0.0,4.0,-8.0,5.0,36375
0.0,0.0,0.0,-26.0,-1.0,36399
0.0,0.0,-4.0,20.0,7.0,36421
0.0,0.0,10.0,-20.0,-13.0,36445
0.0,0.0,4.0,2.0,11.0,36469
0.0,0.0,14.0,10.0,19.0,36492
0.0,0.0,14.0,-2.0,13.0,36515
0.0,0.0,-2.0,16.0,-3.0,36538
0.0,0.0,0.0,2.0,3.0,36561
0.0,0.0,2.0,-8.0,-1.0,36584
0.0,0.0,0.0,10.0,5.0,36607
0.0,0.0,16.0,0.0,-5.0,36631
0.0,0.0,0.0,2.0,-13.0,36654
0.0,0.0,4.0,-2.0,-5.0,36677
0.0,0.0,-10.0,26.0,7.0,36700
0.0,0.0,-12.0,-16.0,-11.0,36724
0.0,0.0,4.0,8.0,1.0,36747
0.0,0.0,-6.0,-6.0,1.0,36770
0.0,0.0,8.0,-6.0,-21.0,36794
0.0,0.0,2.0,-2.0,-7.0,36817
0.0,0.0,-8.0,-6.0,21.0,36840
0.0,0.0,-2.0,0.0,-1.0,36863
0.0,0.0,-2.0,0.0,-9.0,36887
0.0,0.0,8.0,-4.0,-17.0,36910
0.0,0.0,-4.0,16.0,-21.0,36933
0.0,0.0,8.0,-30.0,5.0,36956
0.0,0.0,2.0,24.0,1.0,37000
0.0,0.0,-6.0,4.0,19.0,37024
0.0,0.0,0.0,14.0,-5.0,37047
0.0,0.0,0.0,-22.0,7.0,37070
0.0,0.0,8.0,0.0,17.0,37093
0.0,0.0,-12.0,10.0,25.0,37116
0.0,0.0,-6.0,16.0,19.0,37139
0.0,0.0,6.0,-10.0,3.0,37163
0.0,0.0,8.0,20.0,-3.0,37186
0.0,0.0,-2.0,-2.0,5.0,37209
0.0,0.0,-20.0,-2.0,-17.0,37232
0.0,0.0,18.0,-66.0,9.0,37255
0.0,0.0,-50.0,-24.0,-1.0,37278
0.0,0.0,40.0,18.0,-27.0,37301
0.0,0.0,-44.0,50.0,33.0,37324
0.0,0.0,28.0,18.0,-45.0,37347
0.0,0.0,6.0,4.0,21.0,37370
0.0,0.0,-30.0,14.0,15.0,37392
0.0,0.0,14.0,-14.0,13.0,37416
0.0,0.0,-10.0,44.0,17.0,37438
0.0,0.0,-6.0,4.0,-29.0,37461
0.0,0.0,20.0,24.0,39.0,37484
0.0,0.0,8.0,28.0,-35.0,37508
0.0,0.0,-6.0,2.0,27.0,37531
0.0,0.0,4.0,-30.0,-17.0,37554
0.0,0.0,0.0,4.0,11.0,37577
0.0,0.0,10.0,12.0,-1.0,37601
0.0,0.0,8.0,108.0,27.0,37624
0.0,0.0,20.0,-4.0,-17.0,37647
0.0,0.0,14.0,-6.0,-17.0,37933
0.0,0.0,-76.0,-36.0,-1.0,37999
0.0,0.0,-4.0,38.0,-19.0,38064
0.0,0.0,42.0,-8.0,-15.0,38129
0.0,0.0,10.0,-30.0,1.0,38194
0.0,0.0,10.0,12.0,45.0,38259
0.0,0.0,10.0,26.0,-7.0,38324
0.0,0.0,-2.0,10.0,-11.0,38390
0.0,0.0,-6.0,14.0,9.0,38455
0.0,0.0,8.0,-6.0,9.0,38520
0.0,0.0,-6.0,-10.0,11.0,38543
0.0,0.0,4.0,0.0,-11.0,38566
0.0,0.0,-2.0,-8.0,-5.0,38589
0.0,0.0,0.0,0.0,-9.0,38613
0.0,0.0,6.0,0.0,13.0,38636
0.0,0.0,-16.0,6.0,33.0,38659
0.0,0.0,-4.0,-10.0,-29.0,38682
0.0,0.0,2.0,2.0,7.0,38705
0.0,0.0,-2.0,-14.0,-13.0,38728
0.0,0.0,20.0,20.0,13.0,38751
0.0,0.0,6.0,8.0,-9.0,38775
0.0,0.0,6.0,-20.0,-9.0,38798
0.0,0.0,0.0,0.0,-15.0,38821
0.0,0.0,-4.0,0.0,17.0,38844
0.0,0.0,2.0,-4.0,-21.0,38868
0.0,0.0,-6.0,6.0,-15.0,38891
0.0,0.0,-2.0,6.0,27.0,38914
0.0,0.0,-4.0,-6.0,21.0,38938
0.0,0.0,8.0,6.0,-3.0,38961
0.0,0.0,-8.0,-14.0,21.0,38984
0.0,0.0,-10.0,-6.0,13.0,39007
0.0,0.0,6.0,6.0,-9.0,39030
0.0,0.0,6.0,4.0,1.0,39053
0.0,0.0,8.0,-12.0,29.0,39076
