0.00,19.00,-131.00,8.00,396779
0.00,0.00,-9.00,-129.00,18.00,396844
0.00,0.00,-29.00,-145.00,58.00,396909
0.00,0.00,-1.00,-133.00,26.00,396974
0.00,0.00,-31.00,-137.00,24.00,397039
0.00,0.00,-23.00,-149.00,16.00,397105
0.00,0.00,-19.00,-133.00,8.00,397190
0,0,-23.00,-129.00,20.00,397213
0,0,-33.00,-139.00,-122.00,397237
0,0,-11.00,-127.00,30.00,397260
0,0,-7.00,-165.00,32.00,397283
0,0,-27.00,-143.00,18.00,397306
0,0,-11.00,-143.00,34.00,397329
0,0,-23.00,-145.00,12.00,397352
0,0,-13.00,-139.00,12.00,397375
0,0,-9.00,-135.00,30.00,397398
0,0,-23.00,-135.00,16.00,397421
0,0,-27.00,-143.00,22.00,397444
0,0,-39.00,-139.00,10.00,397467
0,0,-21.00,-129.00,28.00,397490
0,0,-21.00,-153.00,22.00,397514
0,0,-17.00,-139.00,2.00,397537
0,0,-7.00,-173.00,34.00,397561
0,0,-29.00,-147.00,20.00,397584
0,0,-23.00,-127.00,16.00,397607
0,0,-21.00,-127.00,0.00,397630
0,0,-17.00,-137.00,34.00,397654
0,0,-39.00,-149.00,10.00,397676
0,0,-11.00,-139.00,14.00,397700
0,0,-5.00,-161.00,48.00,397723
0,0,-13.00,-125.00,26.00,397746
0,0,-19.00,-125.00,8.00,397769
0,0,19.00,-191.00,50.00,397792
0,0,-3.00,-153.00,4.00,397815
0,0,55.00,157.00,630.00,397838
0,0,-15.00,-201.00,18.00,397862
0,0,-107.00,-155.00,14.00,397885
0,0,-3.00,-165.00,30.00,397909
0,0,-111.00,-633.00,-696.00,397933
0,0,15.00,-189.00,-62.00,397956
0,0,1.00,-117.00,20.00,397980
0,0,-17.00,-141.00,18.00,398004
0,0,-17.00,-147.00,-22.00,398027
0,0,-9.00,-141.00,40.00,398051
0,0,-19.00,-147.00,38.00,398095
0,0,-11.00,-183.00,10.00,398118
0,0,-23.00,-165.00,18.00,398142
0,0,-7.00,-135.00,38.00,398165
0,0,-27.00,-109.00,32.00,398189
0,0,-13.00,-135.00,6.00,398212
0,0,-1.00,-157.00,22.00,398236
0,0,-11.00,-117.00,8.00,398259
0,0,-19.00,-123.00,32.00,398283
0,0,-19.00,-135.00,4.00,398306
0,0,-15.00,-153.00,24.00,398329
0,0,-27.00,-151.00,20.00,398353
0,0,-17.00,-139.00,30.00,398376
0,0,-13.00,-137.00,14.00,398420
0,0,-9.00,-149.00,12.00,398443
0,0,-3.00,-131.00,18.00,398467
0,0,-25.00,-137.00,20.00,398490
0,0,-5.00,-147.00,10.00,398514
0,0,-15.00,-149.00,38.00,398537
0,0,-23.00,-135.00,40.00,398560
0,0,-27.00,-135.00,2.00,398583
0,0,-15.00,-133.00,14.00,398607
0,0,-23.00,-143.00,6.00,398630
0,0,-13.00,-137.00,26.00,398653
0,0,-25.00,-147.00,36.00,398676
0,0,-13.00,-135.00,42.00,398700
0,0,-25.00,-133.00,16.00,398743
0,0,-13.00,-147.00,24.00,398767
0,0,-13.00,-131.00,24.00,398790
0,0,-17.00,-131.00,10.00,398814
0,0,-9.00,-141.00,6.00,398837
0,0,-17.00,-149.00,4.00,398861
0,0,-25.00,-147.00,20.00,398885
0,0,-19.00,-139.00,26.00,398908
0,0,-29.00,-143.00,24.00,398931
0,0,-17.00,-147.00,20.00,398954
0,0,-15.00,-147.00,16.00,398978
0,0,-35.00,-135.00,18.00,399002
0,0,-7.00,-127.00,34.00,399025
0,0,-33.00,-137.00,20.00,399069
0,0,-25.00,-149.00,12.00,399092
0,0,-11.00,-145.00,50.00,399116
0,0,-9.00,-149.00,40.00,399139
0,0,-11.00,-157.00,6.00,399163
0,0,-19.00,-129.00,16.00,399186
0,0,-11.00,-129.00,20.00,399210
0,0,-13.00,-131.00,40.00,399233
0,0,-13.00,-139.00,18.00,399257
0,0,-15.00,-147.00,16.00,399281
0,0,-27.00,-137.00,16.00,399304
0,0,-17.00,-133.00,10.00,399327
0,0,-11.00,-137.00,14.00,399351
0,0,3.00,-133.00,14.00,399394
0,0,-37.00,-149.00,6.00,399417
0,0,-17.00,-137.00,24.00,399440
0,0,-3.00,-119.00,28.00,399464
0,0,-29.00,-133.00,24.00,399487
0,0,-35.00,-137.00,26.00,399511
0,0,-31.00,-139.00,32.00,399534
0,0,-33.00,-135.00,34.00,399558
0,0,-31.00,-129.00,30.00,399582
0,0,-7.00,-133.00,34.00,399605
0,0,-17.00,-139.00,30.00,399629
0,0,-13.00,-141.00,14.00,399652
0,0,-33.00,-139.00,14.00,399676
0,0,-25.00,-139.00,54.00,399699
0.00,0.00,379.00,-701.00,218.00,400006
0.00,0.00,363.00,243.00,-226.00,400071
0.00,0.00,-303.00,-815.00,538.00,400136
0.00,0.00,-57.00,-171.00,-62.00,400201
0.00,0.00,113.00,-341.00,98.00,400266
0.00,0.00,-33.00,-1.00,272.00,400331
0.00,0.00,13.00,143.00,-146.00,400396
0.00,0.00,17.00,-407.00,-212.00,400462
0.00,0.00,-277.00,-513.00,-86.00,400527
0.00,0.00,331.00,-109.00,-120.00,400612
0,0,-187.00,-223.00,52.00,400635
0,0,83.00,-173.00,82.00,400658
0,0,-49.00,-283.00,-16.00,400681
0,0,-29.00,-167.00,52.00,400705
0,0,-17.00,-119.00,50.00,400728
0,0,-25.00,-99.00,-32.00,400752
0,0,-47.00,-165.00,-26.00,400775
0,0,-665.00,-357.00,148.00,400798
0,0,95.00,-361.00,-12.00,400822
0,0,-615.00,87.00,688.00,400866
0,0,399.00,-381.00,22.00,400889
0,0,-145.00,163.00,256.00,400912
0,0,-185.00,209.00,362.00,400935
0,0,-19.00,125.00,-250.00,400958
0,0,7.00,-71.00,94.00,400982
0,0,341.00,-125.00,68.00,401005
0,0,-35.00,-589.00,-574.00,401029
0,0,5.00,-531.00,-358.00,401052
0,0,79.00,-335.00,-250.00,401075
0,0,27.00,-489.00,-98.00,401098
0,0,5.00,325.00,-540.00,401121
0,0,9.00,-57.00,152.00,401144
0,0,-11.00,-519.00,-122.00,401168
0,0,255.00,-11.00,12.00,401191
0,0,-95.00,247.00,422.00,401214
0,0,157.00,301.00,468.00,401237
0,0,-197.00,-825.00,-630.00,401261
0,0,719.00,-491.00,-586.00,401284
0,0,539.00,-345.00,-94.00,401308
0,0,791.00,145.00,398.00,401331
0,0,455.00,305.00,328.00,401354
0,0,567.00,147.00,444.00,401377
0,0,-227.00,89.00,-120.00,401401
0,0,19.00,-165.00,28.00,401424
0,0,-39.00,-135.00,40.00,401447
0,0,75.00,-137.00,76.00,401471
