si,pga,x,y,z,time,erdbeben
0.00,0.00,6.00,34.00,-5.00,107367,1
0.00,0.00,4.00,-6.00,5.00,107432,1
0.00,0.00,-6.00,4.00,3.00,107498,1
0.00,0.00,0.00,2.00,1.00,107563,1
0.00,0.00,0.00,14.00,-1.00,107649,1
0,0,0.00,12.00,29.00,107672,0
0,0,-8.00,10.00,7.00,107696,0
0,0,12.00,2.00,31.00,107719,0
0,0,2.00,-14.00,5.00,107743,0
0,0,20.00,-16.00,-5.00,107767,0
0,0,8.00,-8.00,-17.00,107790,0
0,0,2.00,8.00,3.00,107813,0
0,0,6.00,28.00,25.00,107837,0
0,0,-4.00,0.00,-17.00,107860,0
0,0,18.00,0.00,-11.00,107903,0
0,0,8.00,-8.00,13.00,107927,0
0,0,-4.00,-8.00,-1.00,107950,0
0,0,0.00,12.00,-3.00,107974,0
0,0,0.00,18.00,7.00,107997,0
0,0,-4.00,14.00,-9.00,108021,0
0,0,4.00,-20.00,-11.00,108044,0
0,0,4.00,-18.00,23.00,108068,0
0,0,4.00,-10.00,11.00,108091,0
0,0,-10.00,-4.00,13.00,108114,0
0,0,8.00,20.00,-23.00,108138,0
0,0,8.00,22.00,25.00,108161,0
0,0,14.00,-2.00,-15.00,108184,0
0,0,10.00,-18.00,1.00,108228,0
0,0,2.00,-10.00,15.00,108251,0
0,0,-8.00,16.00,5.00,108274,0
0,0,-10.00,32.00,11.00,108298,0
0,0,4.00,18.00,9.00,108321,0
0,0,10.00,-6.00,1.00,108344,0
0,0,6.00,-10.00,-11.00,108367,0
0,0,14.00,-26.00,11.00,108391,0
0,0,4.00,0.00,-19.00,108414,0
0,0,4.00,4.00,5.00,108438,0
0,0,-2.00,4.00,11.00,108461,0
0,0,-6.00,20.00,9.00,108484,0
0,0,6.00,-20.00,-7.00,108508,0
0,0,8.00,-14.00,-3.00,108531,0
0,0,2.00,-4.00,-1.00,108554,0
0,0,-10.00,12.00,13.00,108577,0
0,0,2.00,2.00,1.00,108600,0
0,0,2.00,4.00,29.00,108623,0
0,0,6.00,-8.00,1.00,108647,0
0,0,6.00,-6.00,-21.00,108670,0
0,0,-16.00,-16.00,1.00,108693,0
0,0,0.00,-16.00,17.00,108716,0
0,0,-20.00,2.00,-27.00,108740,0
0,0,-18.00,16.00,-5.00,108763,0
0,0,-4.00,16.00,15.00,108786,0
0,0,2.00,6.00,-7.00,108809,0
0,0,16.00,-18.00,17.00,108832,0
0,0,-2.00,2.00,17.00,108876,0
0,0,-6.00,14.00,-11.00,108899,0
0,0,-16.00,-6.00,-3.00,108922,0
0,0,12.00,8.00,-3.00,108945,0
0,0,8.00,0.00,-19.00,108969,0
0,0,2.00,-4.00,15.00,108992,0
0,0,6.00,4.00,-1.00,109015,0
0,0,4.00,2.00,-13.00,109038,0
0,0,6.00,14.00,15.00,109061,0
0,0,-4.00,-12.00,-3.00,109084,0
0,0,-12.00,0.00,5.00,109107,0
0,0,0.00,4.00,31.00,109130,0
0,0,18.00,2.00,-9.00,109154,0
0,0,6.00,4.00,25.00,109177,0
0,0,-2.00,12.00,25.00,109200,0
0,0,2.00,16.00,9.00,109223,0
0,0,-8.00,18.00,9.00,109247,0
0,0,18.00,-22.00,1.00,109270,0
0,0,2.00,-8.00,-11.00,109293,0
0,0,0.00,-22.00,17.00,109316,0
0,0,10.00,22.00,-1.00,109339,0
0,0,0.00,12.00,-9.00,109363,0
0,0,-8.00,-14.00,9.00,109386,0
0,0,-6.00,4.00,27.00,109409,0
0,0,12.00,-12.00,-1.00,109432,0
0,0,0.00,-2.00,-1.00,109455,0
0,0,-12.00,4.00,-1.00,109479,0
0,0,-6.00,2.00,-11.00,109502,0
0,0,-2.00,22.00,1.00,109525,0
0,0,16.00,10.00,-1.00,109548,0
0,0,4.00,2.00,13.00,109571,0
0,0,0.00,6.00,-11.00,109594,0
0,0,10.00,-20.00,-27.00,109617,0
0,0,-14.00,-8.00,7.00,109640,0
0,0,-14.00,-2.00,-17.00,109664,0
0,0,6.00,-12.00,-15.00,109687,0
0,0,-10.00,14.00,-3.00,109710,0
0,0,8.00,8.00,13.00,109733,0
0,0,-8.00,-4.00,-7.00,109756,0
0,0,4.00,2.00,5.00,109779,0
0,0,6.00,12.00,-5.00,109802,0
0,0,2.00,-2.00,-7.00,109825,0
0,0,12.00,0.00,-9.00,109848,0
0,0,-10.00,20.00,5.00,109872,0
0,0,-4.00,4.00,1.00,109895,0
0,0,14.00,2.00,9.00,109918,0
0,0,14.00,-14.00,9.00,109942,0
0,0,8.00,-2.00,-13.00,109965,0
0,0,-16.00,-6.00,7.00,109988,0
0,0,4.00,-8.00,-3.00,110012,0
0,0,12.00,6.00,-7.00,110035,0
0,0,-14.00,8.00,15.00,110058,0
0,0,-10.00,-14.00,-7.00,110081,0
0,0,-22.00,-18.00,25.00,110104,0
0,0,18.00,2.00,11.00,110127,0
0,0,-2.00,2.00,27.00,110150,0
0,0,-14.00,-14.00,5.00,110174,0
0.00,0.00,4.00,-12.00,1.00,110460,1
0.00,0.00,-2.00,6.00,35.00,110525,1
0.00,0.00,26.00,-18.00,17.00,110590,1
0.00,0.00,24.00,18.00,13.00,110656,1
0.00,0.00,4.00,-2.00,-25.00,110721,1
0.00,0.00,-4.00,18.00,-29.00,110786,1
