si,pga,x,y,z,time,erdbeben
0,0,32.00,-82.00,10.00,89017,0
0,0,14.00,-96.00,22.00,89040,0
0,0,30.00,-106.00,6.00,89063,0
0,0,40.00,-118.00,26.00,89087,0
0,0,28.00,-76.00,36.00,89110,0
0,0,44.00,-96.00,0.00,89133,0
0,0,12.00,-110.00,28.00,89157,0
0,0,34.00,-108.00,32.00,89180,0
0,0,20.00,-92.00,26.00,89204,0
0,0,30.00,-78.00,22.00,89227,0
0,0,14.00,-92.00,26.00,89250,0
0,0,36.00,-102.00,18.00,89273,0
0,0,30.00,-106.00,26.00,89297,0
0,0,26.00,-102.00,18.00,89320,0
0,0,26.00,-82.00,30.00,89343,0
0,0,32.00,-82.00,28.00,89367,0
0,0,34.00,-98.00,28.00,89390,0
0,0,40.00,-84.00,18.00,89413,0
0,0,36.00,-102.00,28.00,89436,0
0,0,18.00,-102.00,6.00,89460,0
0,0,36.00,-78.00,18.00,89483,0
0,0,26.00,-98.00,26.00,89506,0
0,0,22.00,-94.00,24.00,89529,0
0,0,30.00,-110.00,18.00,89553,0
0,0,32.00,-106.00,30.00,89576,0
0,0,48.00,-84.00,52.00,89599,0
0,0,36.00,-96.00,-14.00,89623,0
0,0,18.00,-92.00,-6.00,89646,0
0,0,42.00,-88.00,10.00,89669,0
0,0,22.00,-112.00,12.00,89692,0
0,0,24.00,-82.00,30.00,89715,0
0,0,38.00,-92.00,18.00,89739,0
0,0,46.00,-98.00,8.00,89762,0
0,0,6.00,-166.00,30.00,89785,0
0,0,2.00,-62.00,-28.00,89808,0
0,0,36.00,-76.00,-90.00,89831,0
0,0,60.00,-158.00,-128.00,89854,0
0,0,24.00,-176.00,94.00,89878,0
0,0,56.00,-62.00,244.00,89901,0
0,0,54.00,4.00,98.00,89925,0
0,0,14.00,-66.00,-30.00,89948,0
0,0,30.00,-106.00,-214.00,89971,0
0,0,26.00,-180.00,-78.00,89995,0
0,0,20.00,-58.00,178.00,90019,0
0,0,48.00,-54.00,262.00,90042,0
0,0,38.00,-108.00,116.00,90065,0
0,0,16.00,-124.00,-126.00,90089,0
0,0,26.00,-80.00,-202.00,90112,0
0,0,6.00,-150.00,-26.00,90136,0
0,0,40.00,-102.00,160.00,90159,0
0,0,52.00,-58.00,204.00,90183,0
0,0,24.00,-42.00,110.00,90206,0
0,0,22.00,-98.00,-66.00,90229,0
0,0,12.00,-116.00,-230.00,90253,0
0,0,10.00,-166.00,-122.00,90276,0
0,0,46.00,-80.00,134.00,90299,0
0,0,52.00,-72.00,244.00,90323,0
0,0,24.00,-140.00,114.00,90346,0
0,0,6.00,-94.00,-114.00,90369,0
0,0,32.00,-84.00,-180.00,90393,0
0,0,4.00,-144.00,-84.00,90416,0
0,0,24.00,-32.00,216.00,90440,0
0,0,24.00,-72.00,208.00,90463,0
0,0,18.00,-72.00,26.00,90487,0
0,0,12.00,-86.00,-110.00,90510,0
0,0,24.00,-184.00,-164.00,90534,0
0,0,36.00,-118.00,46.00,90558,0
0,0,62.00,-56.00,214.00,90581,0
0,0,44.00,-34.00,162.00,90605,0
0,0,0.00,-116.00,-6.00,90628,0
0,0,22.00,-90.00,-196.00,90652,0
0,0,58.00,-180.00,-158.00,90675,0
0,0,34.00,-98.00,94.00,90699,0
0,0,62.00,-48.00,240.00,90722,0
0,0,12.00,-118.00,98.00,90746,0
0,0,14.00,-74.00,-92.00,90769,0
0,0,18.00,-96.00,-212.00,90793,0
0,0,0.00,-158.00,-50.00,90817,0
0,0,24.00,-54.00,220.00,90840,0
0,0,30.00,-92.00,168.00,90863,0
0,0,26.00,-58.00,46.00,90887,0
0,0,10.00,-86.00,-116.00,90910,0
0,0,16.00,-160.00,-184.00,90934,0
0,0,8.00,-116.00,-72.00,90957,0
0,0,32.00,-30.00,204.00,90981,0
0,0,56.00,-58.00,156.00,91004,0
0,0,18.00,-138.00,26.00,91028,0
0,0,30.00,-112.00,-184.00,91051,0
0,0,28.00,-164.00,-158.00,91075,0
0,0,20.00,-94.00,38.00,91099,0
0,0,38.00,-20.00,248.00,91122,0
0,0,40.00,-80.00,174.00,91145,0
0,0,22.00,-86.00,-82.00,91169,0
0,0,34.00,-76.00,-202.00,91193,0
0,0,18.00,-98.00,-16.00,91217,0
0,0,52.00,-50.00,198.00,91240,0
0,0,42.00,-74.00,200.00,91263,0
0,0,26.00,-80.00,26.00,91287,0
0,0,34.00,-92.00,-116.00,91310,0
0,0,40.00,-150.00,-164.00,91334,0
0,0,-2.00,-114.00,-70.00,91357,0
0,0,46.00,-48.00,194.00,91380,0
0,0,44.00,-60.00,230.00,91404,0
0,0,24.00,-120.00,88.00,91427,0
0,0,22.00,-78.00,-138.00,91450,0
0,0,42.00,-154.00,-188.00,91474,0
0,0,28.00,-116.00,-56.00,91497,0
0,0,14.00,-30.00,216.00,91521,0
0,0,44.00,-68.00,192.00,91544,0
0,0,6.00,-94.00,50.00,91568,0
0,0,18.00,-70.00,-108.00,91591,0
0,0,46.00,-178.00,-182.00,91615,0
0,0,20.00,-126.00,-14.00,91638,0
0,0,26.00,-60.00,190.00,91661,0
0,0,44.00,-76.00,196.00,91685,0
0,0,10.00,-120.00,2.00,91708,0
0,0,10.00,-82.00,-176.00,91731,0
0,0,24.00,-180.00,-150.00,91755,0
0,0,10.00,-120.00,78.00,91778,0
0,0,34.00,-80.00,226.00,91801,0
0,0,60.00,-94.00,176.00,91825,0
0,0,24.00,-88.00,-16.00,91848,0
0,0,22.00,-50.00,-116.00,91872,0
0,0,34.00,-198.00,-142.00,91895,0
0,0,18.00,-102.00,8.00,91919,0
0,0,44.00,-48.00,206.00,91942,0
0,0,52.00,-68.00,172.00,91965,0
0,0,22.00,-102.00,24.00,91989,0
0,0,32.00,-76.00,-178.00,92012,0
0,0,32.00,-170.00,-158.00,92035,0
0,0,18.00,-74.00,22.00,92059,0
0,0,30.00,-50.00,236.00,92082,0
0,0,66.00,-92.00,118.00,92106,0
0,0,24.00,-80.00,12.00,92129,0
0,0,32.00,-46.00,-190.00,92152,0
0,0,30.00,-168.00,-94.00,92176,0
0,0,10.00,-130.00,84.00,92199,0
0,0,54.00,-40.00,216.00,92223,0
0,0,32.00,-76.00,152.00,92246,0
0,0,2.00,-96.00,-28.00,92270,0
0,0,32.00,-104.00,-214.00,92293,0
0,0,12.00,-184.00,-148.00,92317,0
0,0,48.00,-88.00,92.00,92340,0
0,0,44.00,-44.00,266.00,92364,0
0,0,38.00,-118.00,62.00,92387,0
0,0,16.00,-96.00,-134.00,92411,0
0,0,30.00,-106.00,-184.00,92434,0
0,0,8.00,-116.00,-56.00,92458,0
0,0,30.00,-76.00,194.00,92481,0
0,0,48.00,-74.00,204.00,92504,0
0,0,22.00,-70.00,66.00,92528,0
0,0,20.00,-76.00,-64.00,92551,0
0,0,36.00,-158.00,-192.00,92575,0
0,0,16.00,-146.00,-116.00,92598,0
0,0,36.00,-60.00,178.00,92621,0
0,0,42.00,-52.00,168.00,92645,0
0,0,34.00,-122.00,20.00,92668,0
0,0,28.00,-76.00,-190.00,92692,0
0,0,46.00,-160.00,-194.00,92715,0
0,0,-2.00,-100.00,8.00,92739,0
0,0,22.00,-44.00,216.00,92762,0
0,0,34.00,-78.00,192.00,92785,0
0,0,20.00,-72.00,8.00,92809,0
0,0,8.00,-38.00,-108.00,92833,0
0,0,18.00,-204.00,-102.00,92856,0
0,0,28.00,-96.00,84.00,92879,0
0,0,28.00,-58.00,220.00,92903,0
0,0,52.00,-60.00,172.00,92927,0
0,0,2.00,-94.00,-18.00,92950,0
0,0,30.00,-104.00,-170.00,92973,0
0,0,24.00,-166.00,-152.00,92997,0
0,0,34.00,-94.00,70.00,93020,0
0,0,62.00,-38.00,238.00,93044,0
0,0,38.00,-122.00,114.00,93067,0
0,0,24.00,-64.00,-132.00,93091,0
0,0,26.00,-114.00,-176.00,93114,0
0,0,12.00,-126.00,-40.00,93138,0
0,0,28.00,-80.00,178.00,93161,0
0,0,42.00,-66.00,208.00,93185,0
0,0,22.00,-104.00,88.00,93208,0
0,0,8.00,-72.00,-76.00,93232,0
0,0,38.00,-140.00,-152.00,93255,0
0,0,10.00,-134.00,-32.00,93278,0
0,0,36.00,-64.00,220.00,93302,0
0,0,60.00,-62.00,186.00,93325,0
0,0,4.00,-124.00,54.00,93349,0
0,0,16.00,-82.00,-174.00,93372,0
0,0,30.00,-188.00,-160.00,93395,0
0,0,-4.00,-90.00,-4.00,93418,0
0,0,32.00,-116.00,248.00,93442,0
0,0,50.00,-62.00,142.00,93465,0
0,0,40.00,-80.00,26.00,93488,0
0,0,24.00,-62.00,-60.00,93512,0
0,0,34.00,-148.00,-160.00,93535,0
0,0,20.00,-108.00,-22.00,93559,0
0,0,36.00,-36.00,188.00,93582,0
0,0,54.00,-58.00,220.00,93606,0
0,0,0.00,-124.00,90.00,93629,0
0,0,22.00,-68.00,-190.00,93652,0
0,0,18.00,-150.00,-164.00,93676,0
0,0,2.00,-98.00,-8.00,93699,0
0,0,44.00,-62.00,220.00,93723,0
0,0,52.00,-68.00,178.00,93746,0
0,0,34.00,-80.00,60.00,93769,0
0,0,20.00,-58.00,-134.00,93792,0
0,0,26.00,-154.00,-174.00,93815,0
0,0,20.00,-146.00,-58.00,93838,0
0,0,28.00,-86.00,134.00,93862,0
0,0,36.00,-58.00,214.00,93885,0
0,0,22.00,-136.00,94.00,93908,0
0,0,38.00,-76.00,-160.00,93932,0
0,0,28.00,-156.00,-178.00,93956,0
0,0,8.00,-98.00,-32.00,93979,0
0,0,38.00,-50.00,232.00,94002,0
0,0,36.00,-58.00,186.00,94026,0
0,0,34.00,-88.00,68.00,94049,0
0,0,2.00,-70.00,-110.00,94072,0
0,0,36.00,-140.00,-176.00,94095,0
0,0,26.00,-150.00,-54.00,94118,0
0,0,28.00,-74.00,112.00,94141,0
0,0,58.00,-30.00,268.00,94165,0
0,0,28.00,-134.00,108.00,94188,0
0,0,16.00,-66.00,-92.00,94211,0
0,0,30.00,-84.00,-184.00,94234,0
0,0,16.00,-170.00,-82.00,94258,0
0,0,26.00,-110.00,106.00,94281,0
0,0,54.00,-38.00,226.00,94304,0
0,0,24.00,-80.00,110.00,94328,0
0,0,16.00,-80.00,-28.00,94351,0
0,0,24.00,-88.00,-188.00,94374,0
0,0,20.00,-182.00,-110.00,94397,0
0,0,26.00,-106.00,106.00,94420,0
0,0,44.00,-48.00,252.00,94444,0
0,0,46.00,-72.00,168.00,94467,0
0,0,28.00,-74.00,4.00,94490,0
0,0,18.00,-46.00,-134.00,94513,0
0,0,22.00,-182.00,-162.00,94536,0
0,0,16.00,-82.00,-22.00,94559,0
0,0,24.00,-50.00,208.00,94582,0
0,0,68.00,-40.00,214.00,94606,0
0,0,6.00,-130.00,38.00,94629,0
0,0,18.00,-80.00,-178.00,94652,0
0,0,40.00,-114.00,-162.00,94676,0
0,0,14.00,-112.00,-4.00,94700,0
0,0,38.00,-48.00,232.00,94723,0
0,0,52.00,-78.00,184.00,94746,0
0,0,14.00,-68.00,30.00,94769,0
0,0,30.00,-54.00,-126.00,94793,0
0,0,22.00,-178.00,-172.00,94817,0
0,0,6.00,-106.00,-40.00,94840,0
0,0,56.00,-44.00,200.00,94863,0
0,0,66.00,-52.00,222.00,94887,0
0,0,6.00,-120.00,62.00,94910,0
0,0,26.00,-86.00,-156.00,94934,0
0,0,40.00,-150.00,-166.00,94957,0
0,0,18.00,-96.00,110.00,94980,0
0,0,32.00,-46.00,220.00,95004,0
0,0,32.00,-120.00,144.00,95027,0
0,0,26.00,-90.00,-68.00,95051,0
0,0,14.00,-46.00,-124.00,95074,0
0,0,36.00,-176.00,-138.00,95097,0
0,0,20.00,-116.00,-60.00,95120,0
0,0,54.00,-44.00,176.00,95143,0
0,0,52.00,-68.00,194.00,95167,0
0,0,26.00,-126.00,58.00,95190,0
0,0,18.00,-86.00,-142.00,95213,0
0,0,38.00,-136.00,-158.00,95236,0
0,0,20.00,-154.00,-90.00,95259,0
0,0,42.00,-112.00,84.00,95282,0
0,0,38.00,-44.00,202.00,95304,0
0,0,58.00,-70.00,222.00,95327,0
0,0,26.00,-130.00,22.00,95350,0
0,0,18.00,-88.00,-132.00,95373,0
0,0,40.00,-120.00,-190.00,95396,0
0,0,22.00,-130.00,-48.00,95419,0
0,0,46.00,-112.00,160.00,95442,0
0,0,44.00,-56.00,230.00,95465,0
0,0,48.00,-62.00,140.00,95488,0
0,0,18.00,-130.00,-32.00,95511,0
0,0,24.00,-112.00,-216.00,95535,0
0,0,30.00,-172.00,-132.00,95558,0
0,0,18.00,-94.00,58.00,95581,0
0,0,16.00,-52.00,228.00,95604,0
0,0,42.00,-78.00,148.00,95628,0
0,0,28.00,-98.00,-76.00,95651,0
0,0,28.00,-54.00,-144.00,95675,0
0,0,2.00,-176.00,-116.00,95698,0
0,0,22.00,-100.00,76.00,95721,0
0,0,34.00,-30.00,210.00,95744,0
0,0,38.00,-74.00,172.00,95768,0
0,0,32.00,-148.00,10.00,95791,0
0,0,24.00,-82.00,-196.00,95815,0
0,0,12.00,-176.00,-146.00,95838,0
0,0,54.00,-112.00,62.00,95861,0
0,0,44.00,-38.00,232.00,95885,0
0,0,30.00,-116.00,132.00,95908,0
0,0,32.00,-106.00,-12.00,95932,0
0,0,36.00,-92.00,-176.00,95956,0
0,0,40.00,-206.00,-62.00,95980,0
0,0,30.00,-62.00,74.00,96003,0
0,0,22.00,-46.00,20.00,96026,0
0,0,36.00,-164.00,-22.00,96050,0
0,0,38.00,-160.00,6.00,96074,0
0,0,12.00,-50.00,30.00,96098,0
0,0,42.00,-48.00,36.00,96121,0
0,0,40.00,-72.00,22.00,96145,0
0,0,30.00,-138.00,20.00,96169,0
0,0,20.00,-142.00,34.00,96193,0
0,0,32.00,-98.00,16.00,96217,0
0,0,32.00,-56.00,20.00,96242,0
0,0,36.00,-70.00,22.00,96265,0
0,0,50.00,-102.00,-4.00,96288,0
0,0,12.00,-138.00,10.00,96311,0
0,0,24.00,-98.00,22.00,96336,0
0,0,30.00,-70.00,2.00,96359,0
0,0,40.00,-78.00,6.00,96383,0
0,0,26.00,-94.00,36.00,96407,0
0,0,24.00,-92.00,14.00,96431,0
0,0,28.00,-96.00,6.00,96454,0
0,0,28.00,-88.00,2.00,96478,0
0,0,26.00,-82.00,24.00,96502,0
0,0,20.00,-110.00,12.00,96526,0
0,0,36.00,-92.00,34.00,96549,0
0,0,18.00,-92.00,30.00,96573,0
0,0,36.00,-90.00,18.00,96595,0
