si,pga,x,y,z,time,erdbeben
0,0,-9.00,-143.00,2.00,102843,0
0,0,-27.00,-143.00,24.00,102866,0
0,0,-21.00,-155.00,8.00,102889,0
0,0,-33.00,-161.00,22.00,102912,0
0,0,-37.00,-159.00,24.00,102956,0
0,0,-13.00,-139.00,2.00,102979,0
0,0,-15.00,-153.00,0.00,103003,0
0,0,-7.00,-151.00,8.00,103026,0
0,0,-15.00,-153.00,18.00,103050,0
0,0,-25.00,-159.00,44.00,103073,0
0,0,-19.00,-157.00,20.00,103097,0
0,0,-5.00,-139.00,16.00,103120,0
0,0,-15.00,-139.00,22.00,103143,0
0,0,-29.00,-153.00,-2.00,103166,0
0,0,-1.00,-161.00,2.00,103189,0
0,0,-15.00,-155.00,18.00,103212,0
0,0,-25.00,-147.00,18.00,103236,0
0,0,-13.00,-161.00,20.00,103279,0
0,0,-17.00,-145.00,-2.00,103302,0
0,0,-15.00,-159.00,42.00,103326,0
0,0,-33.00,-153.00,14.00,103349,0
0,0,-17.00,-155.00,14.00,103373,0
0,0,-21.00,-159.00,46.00,103396,0
0,0,-37.00,-169.00,18.00,103419,0
0,0,-19.00,-151.00,8.00,103442,0
0,0,-29.00,-151.00,12.00,103465,0
0,0,-15.00,-147.00,42.00,103488,0
0,0,-39.00,-161.00,2.00,103511,0
0,0,-25.00,-159.00,0.00,103535,0
0,0,-15.00,-163.00,20.00,103558,0
0,0,-19.00,-151.00,14.00,103601,0
0,0,-7.00,-155.00,30.00,103625,0
0,0,-9.00,-161.00,26.00,103648,0
0,0,-11.00,-141.00,32.00,103671,0
0,0,-21.00,-153.00,0.00,103694,0
0,0,-27.00,-163.00,28.00,103717,0
0,0,-11.00,-147.00,8.00,103741,0
0,0,-39.00,-139.00,18.00,103764,0
0,0,-21.00,-157.00,42.00,103787,0
0,0,-25.00,-145.00,22.00,103811,0
0,0,-7.00,-147.00,10.00,103834,0
0,0,-13.00,-163.00,10.00,103858,0
0,0,-33.00,-161.00,4.00,103881,0
0,0,-5.00,-145.00,20.00,103925,0
0,0,-39.00,-155.00,10.00,103949,0
0,0,-19.00,-151.00,24.00,103972,0
0,0,-19.00,-153.00,16.00,103996,0
0,0,-29.00,-167.00,2.00,104019,0
0,0,9.00,-61.00,-124.00,104042,0
0,0,-57.00,-179.00,68.00,104066,0
0,0,19.00,-127.00,42.00,104090,0
0,0,-27.00,-177.00,-14.00,104113,0
0,0,-45.00,-149.00,-2.00,104137,0
0,0,-17.00,-109.00,20.00,104160,0
0,0,-71.00,-93.00,162.00,104183,0
0,0,-7.00,-201.00,-162.00,104207,0
0,0,-27.00,-121.00,68.00,104250,0
0,0,-17.00,-105.00,56.00,104274,0
0,0,-9.00,-153.00,0.00,104297,0
0,0,-39.00,-177.00,2.00,104321,0
0,0,-15.00,-173.00,14.00,104344,0
0,0,-27.00,-141.00,16.00,104368,0
0,0,-1.00,-155.00,22.00,104391,0
0,0,-19.00,-163.00,-2.00,104414,0
0,0,-11.00,-153.00,-6.00,104437,0
0,0,-3.00,-149.00,8.00,104460,0
0,0,-5.00,-149.00,34.00,104483,0
0,0,-3.00,-177.00,8.00,104506,0
0,0,-37.00,-173.00,22.00,104529,0
0,0,-45.00,-153.00,32.00,104552,0
0,0,-27.00,-147.00,24.00,104576,0
0.00,0.00,-17.00,-165.00,22.00,104862,1
0.00,0.00,-3.00,-141.00,24.00,104927,1
0.00,0.00,-19.00,-153.00,16.00,104993,1
0.00,0.00,-25.00,-151.00,-4.00,105058,1
0.00,0.00,-11.00,-145.00,38.00,105123,1
0.00,0.00,-9.00,-149.00,28.00,105189,1
0.00,0.00,-9.00,-147.00,26.00,105254,1
0.00,0.00,-25.00,-157.00,0.00,105319,1
0.00,0.00,-17.00,-157.00,26.00,105385,1
0.00,0.00,-33.00,-173.00,12.00,105470,1
0,0,-21.00,-157.00,14.00,105493,0
0,0,-13.00,-157.00,-14.00,105516,0
0,0,-41.00,-155.00,34.00,105539,0
0,0,-9.00,-147.00,26.00,105562,0
0,0,-3.00,-171.00,20.00,105585,0
0,0,-7.00,-171.00,28.00,105608,0
0,0,-11.00,-149.00,30.00,105631,0
0,0,-47.00,-129.00,-10.00,105655,0
0,0,-29.00,-147.00,12.00,105678,0
0,0,-27.00,-157.00,24.00,105722,0
0,0,-23.00,-149.00,26.00,105745,0
0,0,-15.00,-157.00,26.00,105768,0
0,0,1.00,-165.00,16.00,105791,0
0,0,-13.00,-155.00,24.00,105815,0
0,0,-33.00,-151.00,22.00,105838,0
0,0,-19.00,-139.00,14.00,105861,0
0,0,-13.00,-157.00,16.00,105885,0
0,0,-11.00,-153.00,4.00,105908,0
0,0,-23.00,-153.00,4.00,105932,0
0,0,-19.00,-157.00,-6.00,105955,0
0,0,-19.00,-145.00,14.00,105979,0
0,0,-9.00,-139.00,14.00,106002,0
0,0,-7.00,-169.00,12.00,106025,0
0,0,-13.00,-155.00,20.00,106048,0
0,0,-19.00,-171.00,0.00,106071,0
0,0,-29.00,-145.00,-22.00,106094,0
0,0,-17.00,-165.00,0.00,106117,0
0,0,-11.00,-161.00,22.00,106141,0
0,0,1.00,-167.00,12.00,106163,0
0,0,-13.00,-143.00,12.00,106186,0
0,0,-31.00,-159.00,16.00,106210,0
0,0,-21.00,-153.00,2.00,106233,0
0,0,-13.00,-165.00,32.00,106256,0
0,0,403.00,285.00,340.00,106279,0
0,0,-19.00,115.00,148.00,106302,0
0,0,469.00,-311.00,62.00,106325,0
0,0,163.00,-77.00,-210.00,106348,0
0,0,-167.00,25.00,194.00,106371,0
0,0,323.00,77.00,276.00,106394,0
0,0,-99.00,111.00,532.00,106418,0
0,0,-135.00,-5.00,274.00,106441,0
0,0,-157.00,-397.00,-208.00,106464,0
0,0,-213.00,13.00,172.00,106487,0
0,0,159.00,-123.00,226.00,106510,0
0,0,3.00,7.00,-300.00,106533,0
0,0,117.00,-503.00,-376.00,106556,0
0,0,-43.00,-291.00,-160.00,106580,0
0,0,7.00,-189.00,-276.00,106603,0
0,0,-165.00,275.00,434.00,106626,0
0,0,-267.00,125.00,540.00,106650,0
0,0,79.00,-153.00,170.00,106693,0
0,0,289.00,-7.00,-58.00,106716,0
0,0,-163.00,-73.00,14.00,106739,0
0,0,-791.00,-495.00,-428.00,106763,0
0,0,-251.00,-585.00,-252.00,106786,0
0,0,-235.00,-151.00,24.00,106809,0
0,0,-507.00,125.00,298.00,106832,0
0,0,-747.00,11.00,-604.00,106855,0
0,0,389.00,-227.00,-200.00,106878,0
0,0,-201.00,-191.00,62.00,106901,0
0,0,79.00,-185.00,74.00,106924,0
0,0,-77.00,-303.00,-4.00,106947,0
0,0,-39.00,-207.00,94.00,106971,0
0,0,11.00,-155.00,70.00,106994,0
0,0,-23.00,-129.00,8.00,107017,0
0,0,-53.00,-151.00,-56.00,107040,0
0,0,-5.00,-147.00,32.00,107063,0
0,0,-37.00,-157.00,26.00,107086,0
0,0,-7.00,-185.00,24.00,107109,0
0,0,-15.00,-205.00,44.00,107132,0
0,0,-13.00,-135.00,-108.00,107156,0
0,0,-21.00,-143.00,8.00,107179,0
0,0,-3.00,-133.00,18.00,107202,0
0,0,-11.00,-167.00,12.00,107225,0
0,0,3.00,-165.00,24.00,107248,0
0,0,-25.00,-191.00,6.00,107271,0
0,0,-33.00,-165.00,10.00,107294,0
0,0,-13.00,-135.00,16.00,107318,0
0,0,-15.00,-133.00,6.00,107341,0
0,0,-13.00,-157.00,38.00,107365,0
0,0,-29.00,-155.00,22.00,107388,0
0,0,-37.00,-153.00,8.00,107411,0
0,0,-25.00,-177.00,24.00,107435,0
0,0,-19.00,-147.00,28.00,107458,0
0,0,-19.00,-151.00,6.00,107481,0
0,0,-21.00,-149.00,4.00,107504,0
0,0,-25.00,-155.00,14.00,107528,0
0,0,-17.00,-149.00,32.00,107551,0
0,0,9.00,-141.00,32.00,107574,0
0,0,-3.00,-153.00,12.00,107597,0
0,0,-35.00,-161.00,36.00,107620,0
0,0,-19.00,-149.00,24.00,107643,0
0.00,0.00,-7.00,-149.00,22.00,107729,1
0.00,0.00,-21.00,-155.00,30.00,107794,1
0.00,0.00,-821.00,-389.00,-156.00,107859,1
0.00,0.00,-509.00,35.00,184.00,107925,1
0.00,0.00,243.00,-245.00,230.00,107990,1
0.00,0.00,-285.00,-179.00,-2.00,108056,1
0.00,0.00,-37.00,-31.00,214.00,108121,1
0.00,0.00,-57.00,-229.00,98.00,108187,1
0.00,0.00,407.00,-489.00,70.00,108252,1
0.00,0.00,-79.00,-315.00,-296.00,108338,1
0,0,259.00,-347.00,-652.00,108361,0
0,0,299.00,141.00,20.00,108385,0
0,0,407.00,-265.00,282.00,108408,0
0,0,275.00,113.00,-234.00,108431,0
0,0,-195.00,-51.00,-14.00,108454,0
0,0,131.00,-265.00,248.00,108477,0
0,0,-33.00,-217.00,-32.00,108500,0
0,0,-21.00,-161.00,34.00,108523,0
0,0,-89.00,-89.00,2.00,108546,0
0,0,-19.00,-115.00,14.00,108590,0
0,0,-13.00,-149.00,38.00,108614,0
0,0,-5.00,-167.00,6.00,108637,0
0,0,-15.00,-147.00,24.00,108660,0
0,0,-25.00,-157.00,18.00,108684,0
0,0,-39.00,-159.00,8.00,108708,0
0,0,-21.00,-171.00,22.00,108731,0
0,0,-15.00,-159.00,32.00,108755,0
0,0,-23.00,-153.00,6.00,108778,0
0,0,-3.00,-179.00,12.00,108802,0
0,0,-23.00,-151.00,14.00,108825,0
0,0,-5.00,-141.00,28.00,108849,0
0,0,-13.00,-135.00,8.00,108872,0
0,0,-15.00,-151.00,12.00,108895,0
0,0,-29.00,-161.00,14.00,108918,0
0,0,-31.00,-163.00,10.00,108941,0
0,0,-35.00,-175.00,0.00,108965,0
0,0,-11.00,-165.00,12.00,108988,0
0,0,-13.00,-153.00,26.00,109011,0
0,0,-9.00,-149.00,-4.00,109034,0
0,0,-7.00,-145.00,10.00,109057,0
0,0,-19.00,-161.00,-4.00,109080,0
0,0,-27.00,-163.00,20.00,109103,0
0,0,-25.00,-163.00,8.00,109126,0
0,0,-23.00,-151.00,4.00,109149,0
0,0,-23.00,-145.00,24.00,109172,0
0,0,-13.00,-159.00,22.00,109196,0
0,0,-21.00,-157.00,18.00,109219,0
0,0,-23.00,-165.00,10.00,109243,0
0,0,-15.00,-155.00,16.00,109266,0
0,0,-21.00,-155.00,14.00,109289,0
0,0,-29.00,-163.00,12.00,109313,0
0,0,-17.00,-159.00,10.00,109336,0
0,0,-21.00,-133.00,8.00,109359,0
0,0,-37.00,-139.00,8.00,109382,0
0,0,-25.00,-141.00,-10.00,109406,0
0,0,-9.00,-141.00,22.00,109429,0
0,0,287.00,-383.00,62.00,109453,0
0,0,545.00,-235.00,422.00,109476,0
0,0,345.00,71.00,-324.00,109500,0
0,0,441.00,77.00,16.00,109523,0
0,0,-301.00,-105.00,-98.00,109547,0
0,0,-85.00,-275.00,224.00,109570,0
0,0,7.00,-561.00,516.00,109594,0
0,0,-65.00,361.00,392.00,109617,0
0,0,-81.00,-241.00,-190.00,109641,0
0,0,-171.00,-331.00,-282.00,109665,0
0,0,-19.00,123.00,570.00,109689,0
0,0,5.00,-219.00,356.00,109712,0
0,0,385.00,-73.00,10.00,109736,0
0,0,53.00,-439.00,-490.00,109760,0
0,0,107.00,-233.00,-148.00,109783,0
0,0,-109.00,113.00,366.00,109807,0
0,0,-263.00,-201.00,4.00,109830,0
0,0,-45.00,-209.00,154.00,109854,0
0,0,7.00,33.00,506.00,109897,0
0,0,-231.00,-333.00,54.00,109921,0
0,0,-693.00,-537.00,-530.00,109944,0
0,0,-517.00,-171.00,56.00,109968,0
0,0,-465.00,-255.00,104.00,109991,0
0,0,-405.00,-367.00,-158.00,110014,0
0,0,-131.00,43.00,-286.00,110037,0
0,0,175.00,-95.00,12.00,110061,0
0,0,-127.00,-133.00,166.00,110084,0
0,0,101.00,-311.00,64.00,110108,0
0,0,-93.00,-275.00,8.00,110131,0
0,0,-17.00,-141.00,42.00,110155,0
0,0,-59.00,-81.00,-24.00,110178,0
0.00,0.00,-31.00,-139.00,10.00,110284,1
0.00,0.00,-5.00,-165.00,26.00,110350,1
0.00,0.00,-21.00,-181.00,22.00,110415,1
0.00,0.00,-29.00,-131.00,32.00,110481,1
0.00,0.00,-13.00,-165.00,22.00,110546,1
0.00,0.00,-19.00,-165.00,28.00,110611,1
0.00,0.00,-31.00,-131.00,12.00,110676,1
0.00,0.00,-27.00,-137.00,2.00,110742,1
0.00,0.00,-15.00,-145.00,16.00,110807,1
0.00,0.00,-15.00,-159.00,22.00,110893,1
0,0,-9.00,-161.00,14.00,110916,0
0,0,-21.00,-153.00,14.00,110940,0
0,0,-17.00,-167.00,20.00,110963,0
0,0,-27.00,-133.00,4.00,110986,0
0,0,-25.00,-171.00,30.00,111009,0
0,0,-327.00,-147.00,84.00,111033,0
0,0,-357.00,-307.00,324.00,111056,0
0,0,-455.00,-11.00,-158.00,111079,0
0,0,-227.00,-71.00,-96.00,111103,0
0,0,-623.00,-87.00,288.00,111126,0
0,0,351.00,-311.00,-270.00,111150,0
0,0,175.00,-445.00,-146.00,111173,0
0,0,5.00,-277.00,-146.00,111197,0
0,0,-89.00,-27.00,206.00,111221,0
0,0,-343.00,73.00,402.00,111244,0
0,0,-155.00,-61.00,284.00,111268,0
0,0,477.00,23.00,32.00,111291,0
0,0,-155.00,-323.00,52.00,111315,0
0,0,-3.00,-237.00,-316.00,111338,0
0,0,-41.00,-239.00,-132.00,111361,0
0,0,-219.00,-329.00,-154.00,111385,0
0,0,-287.00,-29.00,136.00,111409,0
0,0,267.00,211.00,168.00,111432,0
0,0,-37.00,-223.00,-96.00,111456,0
0,0,-171.00,-31.00,-24.00,111479,0
0,0,77.00,-33.00,-20.00,111503,0
0,0,-107.00,-13.00,204.00,111526,0
0,0,289.00,-381.00,140.00,111550,0
0,0,573.00,-243.00,-252.00,111574,0
0,0,693.00,-175.00,-124.00,111597,0
0,0,1005.00,151.00,-106.00,111621,0
0,0,-55.00,27.00,-144.00,111644,0
0,0,13.00,-139.00,-2.00,111668,0
0,0,-49.00,-225.00,-14.00,111692,0
0,0,81.00,-211.00,62.00,111715,0
0,0,-43.00,-147.00,-10.00,111738,0
0,0,-3.00,-145.00,-12.00,111762,0
0,0,-37.00,-133.00,-48.00,111786,0
0,0,-29.00,-115.00,30.00,111809,0
0,0,5.00,-145.00,48.00,111832,0
0,0,-31.00,-145.00,16.00,111856,0
0,0,-15.00,-189.00,30.00,111880,0
0,0,-23.00,-181.00,-6.00,111904,0
0,0,-25.00,-133.00,8.00,111927,0
0,0,-7.00,-109.00,30.00,111950,0
0,0,-9.00,-135.00,28.00,111974,0
0,0,-19.00,-159.00,14.00,111997,0
0,0,-13.00,-157.00,-2.00,112021,0
0,0,-7.00,-179.00,22.00,112044,0
0,0,-5.00,-153.00,32.00,112067,0
0,0,-13.00,-181.00,20.00,112111,0
0,0,-21.00,-151.00,18.00,112134,0
0,0,-19.00,-149.00,18.00,112157,0
0,0,-21.00,-159.00,16.00,112181,0
0,0,-15.00,-173.00,20.00,112205,0
0,0,-25.00,-177.00,36.00,112228,0
0,0,-7.00,-143.00,20.00,112252,0
0,0,-15.00,-143.00,10.00,112275,0
0,0,-19.00,-145.00,12.00,112298,0
0,0,-17.00,-163.00,30.00,112321,0
0,0,-23.00,-149.00,-30.00,112345,0
0,0,-19.00,-153.00,20.00,112368,0
0,0,-21.00,-145.00,30.00,112392,0
0,0,-9.00,-157.00,8.00,112436,0
0,0,-21.00,-155.00,-20.00,112459,0
0,0,-15.00,-151.00,42.00,112483,0
0,0,-29.00,-161.00,4.00,112507,0
0,0,-15.00,-165.00,-2.00,112530,0
0,0,-13.00,-155.00,-8.00,112554,0
0,0,-11.00,-161.00,48.00,112577,0
0,0,-5.00,-159.00,18.00,112601,0
0,0,289.00,-147.00,-46.00,112624,0
0,0,223.00,-139.00,26.00,112647,0
0,0,103.00,-17.00,330.00,112671,0
0,0,385.00,37.00,-316.00,112694,0
0,0,291.00,-75.00,-108.00,112718,0
0,0,-253.00,85.00,38.00,112761,0
0,0,-97.00,-273.00,-348.00,112785,0
0,0,-75.00,31.00,50.00,112808,0
0,0,-131.00,-37.00,166.00,112831,0
0,0,-129.00,-495.00,-148.00,112855,0
0,0,203.00,-161.00,-26.00,112879,0
0,0,293.00,51.00,-284.00,112902,0
0,0,-281.00,-89.00,-142.00,112926,0
0,0,-193.00,-277.00,-120.00,112950,0
0,0,55.00,51.00,4.00,112973,0
0,0,-35.00,-141.00,34.00,112996,0
0,0,-93.00,-1125.00,-778.00,113020,0
0,0,171.00,-687.00,242.00,113043,0
0.00,0.00,-469.00,-195.00,-10.00,113149,1
0.00,0.00,-1233.00,-511.00,-36.00,113214,1
0.00,0.00,-125.00,-11.00,22.00,113279,1
0.00,0.00,-21.00,-149.00,-22.00,113345,1
0.00,0.00,5.00,-201.00,84.00,113410,1
0.00,0.00,-23.00,-185.00,4.00,113475,1
0.00,0.00,-29.00,-143.00,16.00,113540,1
0.00,0.00,-9.00,-143.00,10.00,113606,1
0.00,0.00,-7.00,-171.00,22.00,113671,1
0.00,0.00,-21.00,-153.00,10.00,113757,1
0,0,-11.00,-141.00,38.00,113781,0
0,0,-9.00,-151.00,26.00,113804,0
0,0,-19.00,-147.00,16.00,113828,0
0,0,-21.00,-157.00,14.00,113852,0
0,0,-9.00,-153.00,4.00,113875,0
0,0,-15.00,-149.00,14.00,113898,0
0,0,-15.00,-149.00,8.00,113922,0
0,0,-23.00,-161.00,10.00,113946,0
0,0,-19.00,-143.00,8.00,113969,0
0,0,-31.00,-171.00,24.00,113993,0
0,0,-7.00,-155.00,14.00,114016,0
