si,pga,x,y,z,time,erdbeben
0,0,6.00,-36.00,42.00,17977,0
0,0,-6.00,-40.00,26.00,18000,0
0,0,4.00,-36.00,22.00,18023,0
0,0,-8.00,-26.00,16.00,18046,0
0,0,-2.00,-34.00,-108.00,18070,0
0,0,-4.00,-34.00,30.00,18093,0
0,0,0.00,-42.00,28.00,18116,0
0,0,-20.00,-48.00,0.00,18140,0
0,0,-22.00,-36.00,18.00,18163,0
0,0,-20.00,-42.00,36.00,18186,0
0,0,-14.00,-36.00,8.00,18209,0
0,0,-2.00,-34.00,-4.00,18233,0
0,0,-20.00,-36.00,40.00,18256,0
0,0,-16.00,-26.00,30.00,18279,0
0,0,0.00,-42.00,8.00,18302,0
0,0,-4.00,-40.00,12.00,18325,0
0,0,-2.00,-26.00,22.00,18348,0
0,0,-10.00,-42.00,20.00,18372,0
0,0,-2.00,-24.00,24.00,18395,0
0,0,-14.00,-42.00,48.00,18418,0
0,0,-16.00,-28.00,26.00,18442,0
0,0,-12.00,-36.00,14.00,18465,0
0,0,-14.00,-44.00,18.00,18488,0
0,0,-22.00,-50.00,12.00,18511,0
0,0,-10.00,-36.00,30.00,18534,0
0,0,-30.00,-20.00,24.00,18558,0
0,0,-12.00,-48.00,38.00,18581,0
0,0,-12.00,-34.00,30.00,18604,0
0,0,-2.00,-40.00,44.00,18627,0
0,0,0.00,-40.00,30.00,18650,0
0,0,-2.00,-28.00,18.00,18674,0
0,0,0.00,-50.00,30.00,18697,0
0,0,-16.00,-36.00,14.00,18720,0
0,0,0.00,-36.00,34.00,18744,0
0,0,-22.00,-44.00,10.00,18767,0
0,0,-18.00,-36.00,0.00,18790,0
0,0,-4.00,-30.00,40.00,18813,0
0,0,-10.00,-28.00,12.00,18836,0
0,0,-8.00,-26.00,24.00,18860,0
0,0,-6.00,-38.00,22.00,18883,0
0,0,-20.00,-44.00,22.00,18907,0
0,0,-14.00,-38.00,30.00,18930,0
0,0,-4.00,-20.00,24.00,18954,0
0,0,0.00,-28.00,24.00,18977,0
0,0,4.00,-40.00,8.00,19000,0
0,0,-20.00,-50.00,18.00,19024,0
0,0,-8.00,-34.00,18.00,19046,0
0,0,-4.00,-42.00,22.00,19070,0
0,0,-8.00,-52.00,46.00,19093,0
0,0,-2.00,-34.00,-10.00,19116,0
0,0,-14.00,-50.00,34.00,19139,0
0,0,-20.00,-28.00,48.00,19162,0
0,0,0.00,-16.00,24.00,19186,0
0,0,-10.00,-50.00,26.00,19209,0
0,0,-14.00,-32.00,20.00,19233,0
0,0,6.00,-50.00,42.00,19256,0
0,0,-4.00,-42.00,34.00,19280,0
0,0,-16.00,-40.00,32.00,19303,0
0,0,-12.00,-28.00,18.00,19327,0
0,0,2.00,-50.00,30.00,19350,0
0,0,-16.00,-38.00,16.00,19374,0
0,0,-16.00,-36.00,12.00,19397,0
0,0,4.00,-28.00,8.00,19421,0
0,0,-14.00,-42.00,4.00,19444,0
0,0,-4.00,-44.00,26.00,19468,0
0,0,-8.00,-42.00,28.00,19491,0
0,0,-16.00,-26.00,24.00,19515,0
0,0,-4.00,-48.00,48.00,19538,0
0,0,-18.00,-48.00,24.00,19562,0
0,0,-10.00,-30.00,42.00,19585,0
0,0,-14.00,-48.00,34.00,19608,0
0,0,-24.00,-34.00,36.00,19632,0
0,0,-2.00,-36.00,24.00,19655,0
0,0,-4.00,-34.00,32.00,19679,0
0,0,-16.00,-20.00,26.00,19702,0
0,0,-20.00,-46.00,16.00,19725,0
0,0,-14.00,-44.00,4.00,19749,0
0,0,12.00,-34.00,24.00,19772,0
