id,value,feed_id,created_at,lat,lon,ele
0FFNE4KKH2JF9RRJPRB1QC38DJ,2.98,2699864,2023-12-20 21:56:06 UTC,,,
0FFNE4NGB67ZVXC2NN2XMKGRP3,3.25,2699864,2023-12-20 21:56:13 UTC,,,
0FFNE4QDQC4KJQR0BSW2GJCNGZ,3.26,2699864,2023-12-20 21:56:19 UTC,,,
0FFNE4SAXPNCDJ1DTAJR5F1KPN,3.12,2699864,2023-12-20 21:56:25 UTC,,,
0FFNE4V8CWYEB0EFJ8WXFF1GG9,3.10,2699864,2023-12-20 21:56:32 UTC,,,
0FFNE4X5QA8R33N2X2Q5W2SF0G,3.14,2699864,2023-12-20 21:56:38 UTC,,,
0FFNE4Z39GYA7TCNPFGGJ9077V,2.92,2699864,2023-12-20 21:56:44 UTC,,,
0FFNE510GZ11AT2ADX5B8P2C6Y,2.74,2699864,2023-12-20 21:56:50 UTC,,,
0FFNE52XXDGW957BVMV7WY3MWZ,2.85,2699864,2023-12-20 21:56:57 UTC,,,
0FFNE54V91T2EHZGWD0HJK62CM,3.03,2699864,2023-12-20 21:57:03 UTC,,,
0FFNE56RQRERMVQ8HHPPAGDTQS,3.21,2699864,2023-12-20 21:57:09 UTC,,,
0FFNE58P416STQZZ3BSDVG53DW,3.26,2699864,2023-12-20 21:57:16 UTC,,,
0FFNE5ARC7JQ3AF7GKJJSN2PMW,3.30,2699864,2023-12-20 21:57:22 UTC,,,
0FFNE5CGZM9V2PN0C806X7472V,3.36,2699864,2023-12-20 21:57:28 UTC,,,
0FFNE5EE68A19AEFBN4P3528E1,3.27,2699864,2023-12-20 21:57:34 UTC,,,
0FFNE5GBMARAQAYP2D5TEHHW5Y,3.38,2699864,2023-12-20 21:57:41 UTC,,,
0FFNE5J94T0H4CAAJAP1FP736A,3.30,2699864,2023-12-20 21:57:47 UTC,,,
0FFNE5M6HQ40Q9AZFAB9RTCWVK,3.07,2699864,2023-12-20 21:57:53 UTC,,,
0FFNE5P3ZFKRD60TT1FBG4E444,2.96,2699864,2023-12-20 21:58:00 UTC,,,
0FFNE5R1923THN1G4Y4ZYQGYGD,3.00,2699864,2023-12-20 21:58:06 UTC,,,
0FFNE5SYMVJX7FZJJNEKK92ZXY,3.22,2699864,2023-12-20 21:58:12 UTC,,,
0FFNE5VVYW1G7XDNQ5QGJSWBCE,3.29,2699864,2023-12-20 21:58:18 UTC,,,
0FFNE5XSBWR9ZXT61QK5ZRZ1D6,3.34,2699864,2023-12-20 21:58:25 UTC,,,
0FFNE5ZPQ8W7144TWG5JY3DFQ2,3.42,2699864,2023-12-20 21:58:31 UTC,,,
0FFNE61M2X8MBNT5MM7F9CHRVE,3.53,2699864,2023-12-20 21:58:37 UTC,,,
0FFNE63HHD4M8Z0ZM1FQCT243Q,3.36,2699864,2023-12-20 21:58:44 UTC,,,
0FFNE65F13WX2XKHAVHKYJ8MY0,3.33,2699864,2023-12-20 21:58:50 UTC,,,
0FFNE67C8DWXNJ89H775KFDQJT,3.30,2699864,2023-12-20 21:58:56 UTC,,,
0FFNE699PKB5G486SZVND1H70T,3.22,2699864,2023-12-20 21:59:02 UTC,,,
0FFNE6B767Y5AWKSP7XZ9FN6Q7,3.08,2699864,2023-12-20 21:59:09 UTC,,,
0FFNE6D4EE48DETZKM75V1V0V2,2.94,2699864,2023-12-20 21:59:15 UTC,,,
0FFNE6F1WZWCVP8D08C0XMB7KM,2.93,2699864,2023-12-20 21:59:21 UTC,,,
0FFNE6GZ6N0P5FK8CAJYR3P5GG,2.97,2699864,2023-12-20 21:59:28 UTC,,,
0FFNE6JWKTS2BT1WZGVZBTB2XC,3.00,2699864,2023-12-20 21:59:34 UTC,,,
0FFNE6MT2CNYMHFCB3J8B0S806,3.01,2699864,2023-12-20 21:59:40 UTC,,,
0FFNE6PQE2DZQPSGCPV0Y3W5KG,3.10,2699864,2023-12-20 21:59:46 UTC,,,
0FFNE6RMRZ2YSBENMAG3X94Y6A,3.15,2699864,2023-12-20 21:59:53 UTC,,,
0FFNE6TJ5M0527P5JT8PETN71X,3.27,2699864,2023-12-20 21:59:59 UTC,,,
0FFNE6WFJBH5G5KK50512F9XX3,3.51,2699864,2023-12-20 22:00:05 UTC,,,
0FFNE6YCXPQK6H6S73JCPWFGTV,3.39,2699864,2023-12-20 22:00:12 UTC,,,
0FFNE70ADX58QZB28JG1EW9DR5,3.23,2699864,2023-12-20 22:00:18 UTC,,,
0FFNE727QNJXSJ31AB5YPR0S66,3.16,2699864,2023-12-20 22:00:24 UTC,,,
0FFNE7453YBDHEND9V0PRG1JTX,3.07,2699864,2023-12-20 22:00:30 UTC,,,
0FFNE762H9PY9F99BD99KZDAC7,2.88,2699864,2023-12-20 22:00:37 UTC,,,
0FFNE77ZXAFA726YCZTKVBXNB6,2.85,2699864,2023-12-20 22:00:43 UTC,,,
0FFNE79X9PRVFNY7KZPXTZ83X7,3.01,2699864,2023-12-20 22:00:49 UTC,,,
0FFNE7BTVN3Z7H3ABPP7DA3X9J,3.12,2699864,2023-12-20 22:00:56 UTC,,,
0FFNE7DR1STT9GQA3PZK4TV5S6,3.14,2699864,2023-12-20 22:01:02 UTC,,,
0FFNE7FNE5ZFA07M7YH8CPX6FR,3.15,2699864,2023-12-20 22:01:08 UTC,,,
0FFNE7HJV0K84C8KYXYECYWWBW,3.16,2699864,2023-12-20 22:01:14 UTC,,,
0FFNE7KGB0R89DDSNGX6E3GZ4K,3.33,2699864,2023-12-20 22:01:21 UTC,,,
0FFNE7NDK01ZF97EE0JRA0KBC2,3.30,2699864,2023-12-20 22:01:27 UTC,,,
0FFNE7QB3GR38NP207SE1BA87S,3.39,2699864,2023-12-20 22:01:33 UTC,,,
0FFNE7S8DP3AJTP71KGZ20A9QQ,3.32,2699864,2023-12-20 22:01:40 UTC,,,
0FFNE7V638TMMR7J3TGPVXPTQM,3.07,2699864,2023-12-20 22:01:46 UTC,,,
0FFNE7X37XKJZKF45JSRHVM0B2,2.78,2699864,2023-12-20 22:01:52 UTC,,,
0FFNE7Z0MFB159PS9N4AP5XMPF,2.57,2699864,2023-12-20 22:01:58 UTC,,,
0FFNE80XYVHKQ9XQRMZATVJ320,2.60,2699864,2023-12-20 22:02:05 UTC,,,
0FFNE82VC57BZ3SYSPENRWYSKX,2.75,2699864,2023-12-20 22:02:11 UTC,,,
0FFNE84RRXMFAHGY6YGYHGK3ZK,2.97,2699864,2023-12-20 22:02:17 UTC,,,
0FFNE86P8DKWMCRW06QF9HM82V,2.96,2699864,2023-12-20 22:02:24 UTC,,,
0FFNE88KF7DE26WDG7C1TV8P0H,3.04,2699864,2023-12-20 22:02:30 UTC,,,
0FFNE8AGX19M5YM34Z9E8XV8YS,3.02,2699864,2023-12-20 22:02:36 UTC,,,
0FFNE8CE92H3H9S51H3EQ9MXA1,2.99,2699864,2023-12-20 22:02:42 UTC,,,
0FFNE8EBSAW8K5Y3B2N4XSYFK3,3.00,2699864,2023-12-20 22:02:49 UTC,,,
0FFNE8G92T7DXWPFRY9QDTSBZW,3.26,2699864,2023-12-20 22:02:55 UTC,,,
0FFNE8J6HWHAHAAZZD4E09EE3H,3.59,2699864,2023-12-20 22:03:01 UTC,,,
0FFNE8M3TXH7CFX0YS41QYNV4P,3.50,2699864,2023-12-20 22:03:08 UTC,,,
0FFNE8P1AC0710V9GQWPAGR444,3.44,2699864,2023-12-20 22:03:14 UTC,,,
0FFNE8QYP01JB0B744473PFYNB,3.24,2699864,2023-12-20 22:03:20 UTC,,,
0FFNE8SVYR1VM9SJRHRCCCY0VV,3.28,2699864,2023-12-20 22:03:26 UTC,,,
0FFNE8VSCNJ7MGZX2H0MF75E1X,3.34,2699864,2023-12-20 22:03:33 UTC,,,
0FFNE8XPRM58H1WZ067MAYX13K,3.39,2699864,2023-12-20 22:03:39 UTC,,,
0FFNE8ZM6CZ4JR1SE0Z9VR9099,3.68,2699864,2023-12-20 22:03:45 UTC,,,
0FFNE91HHDBG604DK7GJ7VERBR,3.73,2699864,2023-12-20 22:03:52 UTC,,,
0FFNE93EZSCQDF9YC1XNEPBZSD,3.54,2699864,2023-12-20 22:03:58 UTC,,,
0FFNE95CAY1K38T9V5WTD4R9XV,3.46,2699864,2023-12-20 22:04:04 UTC,,,
0FFNE979Q6XP6J3GMZ2EY6Z05Y,3.45,2699864,2023-12-20 22:04:10 UTC,,,
0FFNE99740RGVKDX3PW4GGFYH0,3.35,2699864,2023-12-20 22:04:17 UTC,,,
0FFNE9B4G8H103DFYFG6WR0AK3,3.33,2699864,2023-12-20 22:04:23 UTC,,,
0FFNE9D1WA2H6AFWRARX9DBGDV,3.22,2699864,2023-12-20 22:04:29 UTC,,,
0FFNE9EZEHN15V78E56YRV36DR,3.02,2699864,2023-12-20 22:04:36 UTC,,,
0FFNE9GWSCQ15N1H23XQP3MK03,3.13,2699864,2023-12-20 22:04:42 UTC,,,
0FFNE9JT1FSYF3G1MKC8D8VBRZ,3.13,2699864,2023-12-20 22:04:48 UTC,,,
0FFNE9MQF0BCZVQQFAWHCXHNMT,3.01,2699864,2023-12-20 22:04:54 UTC,,,
0FFNE9PMV1MKV9YDGWFKET2VN5,2.91,2699864,2023-12-20 22:05:01 UTC,,,
0FFNE9RJBAGX6HH499M5WD6090,2.82,2699864,2023-12-20 22:05:07 UTC,,,
0FFNE9TFNC08NPV67TCD1C1J2X,2.94,2699864,2023-12-20 22:05:13 UTC,,,
0FFNE9WCZ81RYE9P7RMBKR8WSZ,2.64,2699864,2023-12-20 22:05:20 UTC,,,
0FFNE9YAJMMYAWBAW6SYS0W4SK,2.20,2699864,2023-12-20 22:05:26 UTC,,,
0FFNEA07T180F609PATYYTFW4N,2.01,2699864,2023-12-20 22:05:32 UTC,,,
0FFNEA254T86YEA6Z9VHENT4XY,2.08,2699864,2023-12-20 22:05:38 UTC,,,
0FFNEA42HV9H9A8X3H4DDASSFH,1.91,2699864,2023-12-20 22:05:45 UTC,,,
0FFNEA600MFE7DKCDP1DN71R9F,1.69,2699864,2023-12-20 22:05:51 UTC,,,
0FFNEA7XB48FBMJ8FRM8V1Z012,1.77,2699864,2023-12-20 22:05:57 UTC,,,
0FFNEA9TS6HQZT3A9EAAYPP85Q,1.79,2699864,2023-12-20 22:06:04 UTC,,,
0FFNEABR3WVSPEB51X75GB5QBK,1.74,2699864,2023-12-20 22:06:10 UTC,,,
0FFNEADNFKNCR2CHGRTEHM6C9H,1.64,2699864,2023-12-20 22:06:16 UTC,,,
