id,value,feed_id,created_at,lat,lon,ele
0FFMJZ2386D7HVBPTQ95VM7ASD,4.99,2699034,2023-12-19 20:36:28 UTC,,,
0FFMJZ406B5MAFK1DK5QTT8BA8,4.79,2699034,2023-12-19 20:36:34 UTC,,,
0FFMJZ5XKWSC82RD1SR6TMHCBG,4.77,2699034,2023-12-19 20:36:40 UTC,,,
0FFMJZ7TYKBMC9MM2P7GF1EJ7Z,4.82,2699034,2023-12-19 20:36:47 UTC,,,
0FFMJZ9RDPXCHJS6DJQY5H19TM,28.48,2699034,2023-12-19 20:36:53 UTC,,,
0FFMJZBNR39VSH1VM2K8EH0NX9,312.21,2699034,2023-12-19 20:36:59 UTC,,,
0FFMJZDK7TTXKAB9KEYDY3W90Z,6415.36,2699034,2023-12-19 20:37:05 UTC,,,
0FFMJZFGHA6D78ECH320CVRCN9,1632.92,2699034,2023-12-19 20:37:12 UTC,,,
0FFMJZHDY0FYY0YD92Q7HSY2E2,187.10,2699034,2023-12-19 20:37:18 UTC,,,
0FFMJZKBCMW76XJ66ZKAYVJN8Z,57.09,2699034,2023-12-19 20:37:24 UTC,,,
0FFMJZN8P7CD1BXK334GT9A9AP,1203.88,2699034,2023-12-19 20:37:31 UTC,,,
0FFMJZQ643C9HXQ1ME44AWYVG0,3325.74,2699034,2023-12-19 20:37:37 UTC,,,
0FFMJZS3J4HPQ27779GHHSXQS0,1762.23,2699034,2023-12-19 20:37:43 UTC,,,
0FFMJZV0XACASF8VA0RG3H8BXD,1088.95,2699034,2023-12-19 20:37:49 UTC,,,
0FFMJZWYABPXMSE6KF0523BZAB,535.24,2699034,2023-12-19 20:37:56 UTC,,,
0FFMJZYVT74DW3GJDF8BHGM3R2,1689.33,2699034,2023-12-19 20:38:02 UTC,,,
0FFMK00S84Z8Q86F1QYK0XBK5G,5940.82,2699034,2023-12-19 20:38:08 UTC,,,
0FFMK02PG5TM8NRF7V2REC9XWB,4836.55,2699034,2023-12-19 20:38:15 UTC,,,
0FFMK04KXHPK6DEX35TB9EZ2AC,824.31,2699034,2023-12-19 20:38:21 UTC,,,
0FFMK06HBPQ08D9EYPDAY9GV42,1583.61,2699034,2023-12-19 20:38:27 UTC,,,
0FFMK08ETY2VWKXXFQQ5K0APKE,3470.22,2699034,2023-12-19 20:38:34 UTC,,,
0FFMK0AC1KN77HKSG02CPZ5C54,1055.26,2699034,2023-12-19 20:38:40 UTC,,,
0FFMK0C9F3HSJB552Y9K0H9Z5G,488.12,2699034,2023-12-19 20:38:46 UTC,,,
0FFMK0E6TYWXGHZ4ZJ5G7DH45E,363.63,2699034,2023-12-19 20:38:52 UTC,,,
0FFMK0G491SYF8F3RVCQTCZVJM,1669.79,2699034,2023-12-19 20:38:59 UTC,,,
0FFMK0J1NG2KYMR94810VGBM8M,1114.19,2699034,2023-12-19 20:39:05 UTC,,,
0FFMK0KZ2TYPVYC94690T3KYK5,3439.56,2699034,2023-12-19 20:39:11 UTC,,,
0FFMK0NWGZ3TDH0W9MDS00SJK7,3995.63,2699034,2023-12-19 20:39:18 UTC,,,
0FFMK0QST4671ZJVXDPD1FQ11T,4085.77,2699034,2023-12-19 20:39:24 UTC,,,
0FFMK0SQ87D090BXPNGW8VNJYE,716.02,2699034,2023-12-19 20:39:30 UTC,,,
0FFMK0VMMT67P8FFTK90CR0YJV,492.90,2699034,2023-12-19 20:39:36 UTC,,,
0FFMK0XJ1SCGSG5GXKY1PAH8GK,505.29,2699034,2023-12-19 20:39:43 UTC,,,
0FFMK0ZFF4VFWTH7BG1GT9SHPB,356.29,2699034,2023-12-19 20:39:49 UTC,,,
0FFMK11CSGKZAPA6428BDXJJ22,629.55,2699034,2023-12-19 20:39:55 UTC,,,
0FFMK13A6GKRBFA7M3RJ3E7GFF,625.73,2699034,2023-12-19 20:40:02 UTC,,,
0FFMK158186PE34TTJ4EG2M66F,675.08,2699034,2023-12-19 20:40:08 UTC,,,
0FFMK17516FM26SAGJ854XE8PP,448.03,2699034,2023-12-19 20:40:14 UTC,,,
0FFMK192DZ3JCMX294RQ3414PP,1168.99,2699034,2023-12-19 20:40:20 UTC,,,
0FFMK1B03GVS8JXVVK4X7DJD2Q,1463.49,2699034,2023-12-19 20:40:27 UTC,,,
0FFMK1CX58W7QJQG41QHQBXZ87,1968.24,2699034,2023-12-19 20:40:33 UTC,,,
0FFMK1ETQCZESAX1HBXXEE7MSS,2262.61,2699034,2023-12-19 20:40:39 UTC,,,
0FFMK1GQXPXKWN6ACQ1211S5VB,1569.70,2699034,2023-12-19 20:40:46 UTC,,,
0FFMK1JNBZ88W2EWJMTNMX7YM3,1391.68,2699034,2023-12-19 20:40:52 UTC,,,
0FFMK1MJRFG8Z4HM96TACE9MS9,2552.29,2699034,2023-12-19 20:40:58 UTC,,,
