id,value,feed_id,created_at,lat,lon,ele
0FFNE4JYR9V6K8341Y0BH80QQB,0.29,2699863,2023-12-20 21:56:04 UTC,,,
0FFNE4MVHX22K124HN8F7DVVT8,0.29,2699863,2023-12-20 21:56:11 UTC,,,
0FFNE4PRZT46HDED5YKFQAGPQN,0.29,2699863,2023-12-20 21:56:17 UTC,,,
0FFNE4RPAJTWWMPFWA67J9CGSG,0.27,2699863,2023-12-20 21:56:23 UTC,,,
0FFNE4TKR1QGR3XH5ZCGX45BYA,0.26,2699863,2023-12-20 21:56:29 UTC,,,
0FFNE4WH5QHAGD1K3S3T043R6X,0.27,2699863,2023-12-20 21:56:36 UTC,,,
0FFNE4YEGD3HJPKTK2M66E12TK,0.25,2699863,2023-12-20 21:56:42 UTC,,,
0FFNE50BYFM8TAXBH86VGN63QB,0.24,2699863,2023-12-20 21:56:48 UTC,,,
0FFNE529BV9AXHVZCVFS3K67SM,0.25,2699863,2023-12-20 21:56:55 UTC,,,
0FFNE546TQ19SQV78XKBSZ4NDH,0.26,2699863,2023-12-20 21:57:01 UTC,,,
0FFNE5643A9XBTZ6PYMG1F4SQC,0.27,2699863,2023-12-20 21:57:07 UTC,,,
0FFNE581G643NZWFSV2GWVH0VS,0.28,2699863,2023-12-20 21:57:13 UTC,,,
0FFNE59YWGW9588W4FAWBAQQ0V,0.28,2699863,2023-12-20 21:57:20 UTC,,,
0FFNE5BW78Z0BAZE5CBJW497J5,0.28,2699863,2023-12-20 21:57:26 UTC,,,
0FFNE5DT0E0HH3SH2QBBG6R8SV,0.27,2699863,2023-12-20 21:57:32 UTC,,,
0FFNE5FQ4A3TW1BXXYVDEK0P3H,0.27,2699863,2023-12-20 21:57:39 UTC,,,
0FFNE5HMGF3KJMYF0XJB7JXYAD,0.26,2699863,2023-12-20 21:57:45 UTC,,,
0FFNE5KHQT25X89RF4KRQA7BKF,0.24,2699863,2023-12-20 21:57:51 UTC,,,
0FFNE5NF8221763N9CFYGD9YSB,0.23,2699863,2023-12-20 21:57:57 UTC,,,
0FFNE5QCJNGRH20H461QPVXVMJ,0.24,2699863,2023-12-20 21:58:04 UTC,,,
0FFNE5SA0MZ77K7Q6C80PS5C31,0.25,2699863,2023-12-20 21:58:10 UTC,,,
0FFNE5V79ZHHQXD1WQ660VZPG1,0.26,2699863,2023-12-20 21:58:16 UTC,,,
0FFNE5X4XMSWMGYFRAZ8PPEWV3,0.27,2699863,2023-12-20 21:58:23 UTC,,,
0FFNE5Z23RDDFP04TA9DVSMVPR,0.27,2699863,2023-12-20 21:58:29 UTC,,,
0FFNE60ZGJ559EBHK7274TVCSP,0.28,2699863,2023-12-20 21:58:35 UTC,,,
0FFNE62X057MV086XXACKKFKME,0.27,2699863,2023-12-20 21:58:41 UTC,,,
0FFNE64TFJZDH5ZRZRTCE0TZGQ,0.27,2699863,2023-12-20 21:58:48 UTC,,,
0FFNE66QSEZTFG5SX1YW73FH62,0.26,2699863,2023-12-20 21:58:54 UTC,,,
0FFNE68N3DZZJX6SMR5FCXHY1N,0.26,2699863,2023-12-20 21:59:00 UTC,,,
0FFNE6AJDPY00W6433XJK5YPV9,0.25,2699863,2023-12-20 21:59:07 UTC,,,
0FFNE6CFX0DBNQCTADS0T2QYSC,0.23,2699863,2023-12-20 21:59:13 UTC,,,
0FFNE6ED6ZGQJ11QC790T8DJM6,0.23,2699863,2023-12-20 21:59:19 UTC,,,
0FFNE6GAQ5AGAEW3BZCE6E2SJ8,0.23,2699863,2023-12-20 21:59:25 UTC,,,
0FFNE6J819GRRP8R8B77H0CT6Z,0.23,2699863,2023-12-20 21:59:32 UTC,,,
0FFNE6M5BCFATWJ5VQWB4A4BYF,0.22,2699863,2023-12-20 21:59:38 UTC,,,
0FFNE6P2Y24X88BH83C8YM2NAP,0.23,2699863,2023-12-20 21:59:44 UTC,,,
0FFNE6R05WHW1RA2AQAV74ETRY,0.24,2699863,2023-12-20 21:59:51 UTC,,,
0FFNE6SXHSBV7P5P0ZNXH4P4MX,0.25,2699863,2023-12-20 21:59:57 UTC,,,
0FFNE6VTXA6GFGZ5CSZK5DQHNR,0.27,2699863,2023-12-20 22:00:03 UTC,,,
0FFNE6XRB9399NVW8EWANFXEZP,0.26,2699863,2023-12-20 22:00:09 UTC,,,
0FFNE6ZNQFF7MZZ26VX8G6NXG9,0.25,2699863,2023-12-20 22:00:16 UTC,,,
0FFNE71K3QTPFCWG9FH73QBXQH,0.25,2699863,2023-12-20 22:00:22 UTC,,,
0FFNE73GKGVE8R68MJBPT6S53Z,0.24,2699863,2023-12-20 22:00:28 UTC,,,
0FFNE75ECEACPGH1Y69QBZB5BE,0.23,2699863,2023-12-20 22:00:35 UTC,,,
0FFNE77K07X4MKT8X15FBPW616,0.22,2699863,2023-12-20 22:00:42 UTC,,,
0FFNE798T6GA931PZGYD15ZWGX,0.24,2699863,2023-12-20 22:00:47 UTC,,,
0FFNE7B62YPF6BZ6ZVT08QKKGP,0.24,2699863,2023-12-20 22:00:53 UTC,,,
0FFNE7D3NBCA6MGMFCDM7E09MT,0.24,2699863,2023-12-20 22:01:00 UTC,,,
0FFNE7F0V2QRZK49SHQNN4C5WR,0.25,2699863,2023-12-20 22:01:06 UTC,,,
0FFNE7GY82Q83KXD4D3YBSM2X3,0.25,2699863,2023-12-20 22:01:12 UTC,,,
0FFNE7JVNBE6V2WHHNHHAH1GV2,0.26,2699863,2023-12-20 22:01:19 UTC,,,
0FFNE7MRZQ317ZWQ7DABCAVE1K,0.25,2699863,2023-12-20 22:01:25 UTC,,,
0FFNE7PPC7MTAWYCA6EW8C7QET,0.26,2699863,2023-12-20 22:01:31 UTC,,,
0FFNE7RKZ5H522BEZFX4Z20DD5,0.25,2699863,2023-12-20 22:01:37 UTC,,,
0FFNE7TH7H9W65YS2AAWGENXJJ,0.24,2699863,2023-12-20 22:01:44 UTC,,,
0FFNE7WEJTMS55AFF3PV4816Q5,0.22,2699863,2023-12-20 22:01:50 UTC,,,
0FFNE7YC000FD66PE3FFGXPR0J,0.20,2699863,2023-12-20 22:01:56 UTC,,,
0FFNE809B0MRCNWVDYJ75T3QN2,0.20,2699863,2023-12-20 22:02:03 UTC,,,
0FFNE826SA7DJQNV7XN81FE5DT,0.22,2699863,2023-12-20 22:02:09 UTC,,,
0FFNE8442PEV764FAZA1Z1WYQ0,0.24,2699863,2023-12-20 22:02:15 UTC,,,
