id,value,feed_id,Time Stemp,lat,lon,ele
0FFMJZ1ERG7MBDPDRSYY2FCDMZ,0.37,2699033,2023-12-19 20:36:26 UTC,,,
0FFMJZ3BJ96132M3J9693GWPN1,0.37,2699033,2023-12-19 20:36:32 UTC,,,
0FFMJZ58Z0TMP4W2ZYCZG5JC7V,0.37,2699033,2023-12-19 20:36:38 UTC,,,
0FFMJZ76GXNC2Z6TDFXE0EDAJM,0.37,2699033,2023-12-19 20:36:45 UTC,,,
0FFMJZ93RNN1Y33J4VDW4D71G0,2.25,2699033,2023-12-19 20:36:51 UTC,,,
0FFMJZB1C7N24AR65T0SMZC6G3,28.69,2699033,2023-12-19 20:36:57 UTC,,,
0FFMJZCYKMYKPAEX66JY0VSNA0,2942.90,2699033,2023-12-19 20:37:03 UTC,,,
0FFMJZEW0CP8SF9DFE96MNHKDG,970.69,2699033,2023-12-19 20:37:10 UTC,,,
0FFMJZGSC8BK9DE67M6C0DMGBJ,35.66,2699033,2023-12-19 20:37:16 UTC,,,
0FFMJZJPSAZNP6NG4E3TCTSB2K,5.29,2699033,2023-12-19 20:37:22 UTC,,,
0FFMJZMM2D932ENVFACW74JV69,145.62,2699033,2023-12-19 20:37:29 UTC,,,
0FFMJZPHM6N6M8Y9T1TRHP1DT5,475.51,2699033,2023-12-19 20:37:35 UTC,,,
0FFMJZREY3GSGWNDF9FRRNBXFV,437.29,2699033,2023-12-19 20:37:41 UTC,,,
0FFMJZTCBBD1WJE0RX2XB1P4JG,254.03,2699033,2023-12-19 20:37:47 UTC,,,
0FFMJZW9PFWWRDRKCN8Q8AW7XP,105.30,2699033,2023-12-19 20:37:54 UTC,,,
0FFMJZY722E1H13ADVHV15B2Z7,312.99,2699033,2023-12-19 20:38:00 UTC,,,
0FFMK004G1RMEMGTCJYM21DQER,2240.71,2699033,2023-12-19 20:38:06 UTC,,,
0FFMK021YH8HEHDVA18H664G68,2793.87,2699033,2023-12-19 20:38:13 UTC,,,
0FFMK03ZCXHX5FEQSXDS83MTER,372.46,2699033,2023-12-19 20:38:19 UTC,,,
0FFMK05WN9G6JBT874W0M9Y2Y3,556.53,2699033,2023-12-19 20:38:25 UTC,,,
0FFMK07T4KSYR6RQQVACH04WT9,1137.21,2699033,2023-12-19 20:38:31 UTC,,,
0FFMK09QF7G135385D2X4RP6WK,296.80,2699033,2023-12-19 20:38:38 UTC,,,
0FFMK0BMSJYZFC9PDSXKAA1M0R,108.13,2699033,2023-12-19 20:38:44 UTC,,,
0FFMK0DJ7K1BW3FCJP43AHHDBE,68.69,2699033,2023-12-19 20:38:50 UTC,,,
0FFMK0FFMR0WVG3BHNSVR89NAP,289.58,2699033,2023-12-19 20:38:57 UTC,,,
0FFMK0HD0P2NC8SSESFTZJV2CY,187.53,2699033,2023-12-19 20:39:03 UTC,,,
0FFMK0KAE1GZESFAVCTE97EVEN,587.86,2699033,2023-12-19 20:39:09 UTC,,,
0FFMK0N7SSFBZY69TCQ34FCPMV,726.59,2699033,2023-12-19 20:39:15 UTC,,,
0FFMK0Q57BK6Q7H6HQ64X7J4PM,838.65,2699033,2023-12-19 20:39:22 UTC,,,
0FFMK0S2P5ASFVHEGM01WJAMZD,132.33,2699033,2023-12-19 20:39:28 UTC,,,
0FFMK0TZZMXNRP539Q1SZB3Y0Y,80.64,2699033,2023-12-19 20:39:34 UTC,,,
0FFMK0WXDFPD20HRK8AD17QCWV,74.64,2699033,2023-12-19 20:39:41 UTC,,,
0FFMK0YTSDKTMYZG3ZNF2M5NE7,48.36,2699033,2023-12-19 20:39:47 UTC,,,
0FFMK10RAJS82XKXMTDKXB8NDY,81.25,2699033,2023-12-19 20:39:53 UTC,,,
0FFMK12NMESPDMX8PTTQC5THWZ,76.44,2699033,2023-12-19 20:39:59 UTC,,,
