Time,PM1,PM2.5,PM4,PM10,Typical,Bucket1,Bucket2.5,Bucket4,Bucket10
4552,0.93,1.12,1.24,1.29,0.64,0.93,0.19,0.11,0.06
5618,0.93,1.12,1.24,1.29,0.64,0.93,0.19,0.11,0.06
6683,0.93,1.11,1.22,1.28,0.64,0.93,0.19,0.11,0.06
7748,0.93,1.11,1.22,1.28,0.64,0.93,0.19,0.11,0.06
8812,0.93,1.12,1.23,1.28,0.64,0.93,0.19,0.11,0.06
9877,0.93,1.12,1.23,1.29,0.64,0.93,0.19,0.11,0.06
10942,0.95,1.14,1.26,1.32,0.63,0.95,0.19,0.11,0.06
12007,0.98,1.17,1.29,1.35,0.63,0.98,0.20,0.12,0.06
13072,1.00,1.20,1.32,1.38,0.63,1.00,0.20,0.12,0.06
14137,1.01,1.21,1.33,1.39,0.63,1.01,0.20,0.12,0.06
15202,1.01,1.21,1.33,1.39,0.63,1.01,0.20,0.12,0.06
16266,1.00,1.20,1.32,1.38,0.63,1.00,0.20,0.12,0.06
17331,0.98,1.18,1.29,1.35,0.63,0.98,0.19,0.11,0.06
18396,0.97,1.16,1.27,1.32,0.63,0.97,0.19,0.11,0.06
19461,0.94,1.13,1.24,1.29,0.63,0.94,0.19,0.11,0.06
20525,0.91,1.09,1.20,1.25,0.63,0.91,0.18,0.10,0.05
21590,0.89,1.06,1.16,1.21,0.63,0.89,0.17,0.10,0.05
22655,1.15,1.37,1.50,1.57,0.63,1.15,0.22,0.13,0.07
23720,1.28,1.53,1.68,1.75,0.63,1.28,0.25,0.15,0.07
24786,1.43,1.71,1.88,1.96,0.63,1.43,0.28,0.16,0.08
25850,1.50,1.79,1.96,2.05,0.63,1.50,0.29,0.17,0.09
26915,1.52,1.81,1.98,2.07,0.63,1.52,0.30,0.17,0.09
27980,1.51,1.80,1.98,2.06,0.64,1.51,0.29,0.17,0.09
29045,1.48,1.77,1.94,2.03,0.64,1.48,0.29,0.17,0.09
30110,1.45,1.73,1.89,1.98,0.64,1.45,0.28,0.16,0.08
31175,1.39,1.66,1.82,1.90,0.64,1.39,0.27,0.16,0.08
32240,1.37,1.63,1.79,1.86,0.64,1.37,0.27,0.15,0.08
33305,1.35,1.61,1.76,1.84,0.64,1.35,0.26,0.15,0.08
34371,1.33,1.58,1.73,1.81,0.64,1.33,0.26,0.15,0.08
35436,1.30,1.55,1.69,1.77,0.64,1.30,0.25,0.15,0.07
36501,1.26,1.50,1.64,1.72,0.64,1.26,0.24,0.14,0.07
37566,1.21,1.45,1.59,1.66,0.64,1.21,0.24,0.14,0.07
38631,1.17,1.39,1.53,1.59,0.64,1.17,0.23,0.13,0.07
39696,1.12,1.33,1.46,1.53,0.64,1.12,0.22,0.13,0.06
